sentence,tokens,log_probs
The professor persuaded the lawyers to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.404802322387695|||-0.5103864669799805|||-4.070045471191406|||-9.58885383605957|||-0.016193389892578125|||-4.510488033294678|||-8.102251052856445|||-8.930840492248535
The professor persuaded the lawyers to examine himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.404802322387695|||-0.5103864669799805|||-7.926553249359131|||-8.175874710083008|||-8.362106323242188|||-8.911802291870117
The professor persuaded the lawyers to diagnose himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.404802322387695|||-0.5103864669799805|||-12.300301551818848|||-5.5326128005981445|||-9.296366691589355|||-8.397185325622559
The professor persuaded the lawyers to embarrass himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.404802322387695|||-0.5103864669799805|||-12.733514785766602|||-5.236310958862305|||-8.788930892944336|||-8.837553024291992
The professor persuaded the lawyers to disguise himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.404802322387695|||-0.5103864669799805|||-9.56470012664795|||-3.9850997924804688|||-10.08469009399414|||-9.361471176147461
The professor persuaded the artists to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-9.760772705078125|||-0.3911151885986328|||-3.275920867919922|||-7.216483116149902|||-0.04311370849609375|||-4.407433032989502|||-8.10147476196289|||-8.73637580871582
The professor persuaded the artists to examine himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-9.760772705078125|||-0.3911151885986328|||-8.446989059448242|||-7.692152976989746|||-8.85242748260498|||-8.911271095275879
The professor persuaded the artists to diagnose himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-9.760772705078125|||-0.3911151885986328|||-13.088763236999512|||-5.432976722717285|||-8.751285552978516|||-8.41290283203125
The professor persuaded the artists to embarrass himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-9.760772705078125|||-0.3911151885986328|||-12.265355110168457|||-4.660804748535156|||-9.01105785369873|||-8.667062759399414
The professor persuaded the artists to disguise himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-9.760772705078125|||-0.3911151885986328|||-8.532594680786133|||-4.414127826690674|||-10.4395751953125|||-9.030011177062988
