verb,baseline_sentence,distractor_sentence,ungrammatical_sentence,baseline_pron_log_prob,distractor_pron_log_prob,ungrammatical_pron_log_prob,baseline_greater_than_ungrammatical,distractor_greater_than_ungrammatical,correct
promised,The professor promised the lawyer to make fun of himself .,The professor promised the lawyers to make fun of himself .,The professors promised the lawyer to make fun of himself .,-5.676403999328613,-6.246217727661133,-5.770581245422363,1,0,0
promised,The professor promised the lawyer to examine himself .,The professor promised the lawyers to examine himself .,The professors promised the lawyer to examine himself .,-7.4610700607299805,-8.63839340209961,-7.895602703094482,1,0,0
promised,The professor promised the lawyer to diagnose himself .,The professor promised the lawyers to diagnose himself .,The professors promised the lawyer to diagnose himself .,-5.675793647766113,-6.212071895599365,-5.445423603057861,0,0,0
promised,The professor promised the lawyer to embarrass himself .,The professor promised the lawyers to embarrass himself .,The professors promised the lawyer to embarrass himself .,-6.843477725982666,-6.900001525878906,-7.368143558502197,1,1,1
promised,The professor promised the lawyer to disguise himself .,The professor promised the lawyers to disguise himself .,The professors promised the lawyer to disguise himself .,-2.0211753845214844,-2.9850196838378906,-2.452533721923828,1,0,0
promised,The professor promised the artist to make fun of himself .,The professor promised the artists to make fun of himself .,The professors promised the artist to make fun of himself .,-4.705052375793457,-5.643515586853027,-4.670802593231201,0,0,0
promised,The professor promised the artist to examine himself .,The professor promised the artists to examine himself .,The professors promised the artist to examine himself .,-7.684830188751221,-9.265580177307129,-7.887470245361328,1,0,0
promised,The professor promised the artist to diagnose himself .,The professor promised the artists to diagnose himself .,The professors promised the artist to diagnose himself .,-5.711299419403076,-7.088520050048828,-5.47005558013916,0,0,0
promised,The professor promised the artist to embarrass himself .,The professor promised the artists to embarrass himself .,The professors promised the artist to embarrass himself .,-4.711469650268555,-4.556759357452393,-5.362039566040039,1,1,1
promised,The professor promised the artist to disguise himself .,The professor promised the artists to disguise himself .,The professors promised the artist to disguise himself .,-2.073772430419922,-3.5714645385742188,-2.5554943084716797,1,0,0
promised,The professor promised the student to make fun of himself .,The professor promised the students to make fun of himself .,The professors promised the student to make fun of himself .,-6.334871768951416,-6.1207733154296875,-6.269282817840576,0,1,0
promised,The professor promised the student to examine himself .,The professor promised the students to examine himself .,The professors promised the student to examine himself .,-7.646021366119385,-8.50124740600586,-7.347539901733398,0,0,0
promised,The professor promised the student to diagnose himself .,The professor promised the students to diagnose himself .,The professors promised the student to diagnose himself .,-5.8561530113220215,-6.085753917694092,-5.021151542663574,0,0,0
promised,The professor promised the student to embarrass himself .,The professor promised the students to embarrass himself .,The professors promised the student to embarrass himself .,-6.174274921417236,-5.30692195892334,-6.341494560241699,1,1,1
promised,The professor promised the student to disguise himself .,The professor promised the students to disguise himself .,The professors promised the student to disguise himself .,-2.2822561264038086,-2.37839412689209,-2.76241397857666,1,1,1
promised,The professor promised the child to make fun of himself .,The professor promised the children to make fun of himself .,The professors promised the child to make fun of himself .,-5.654965400695801,-6.417182445526123,-5.85315465927124,1,0,0
promised,The professor promised the child to examine himself .,The professor promised the children to examine himself .,The professors promised the child to examine himself .,-6.193068504333496,-7.525767803192139,-5.6700758934021,0,0,0
promised,The professor promised the child to diagnose himself .,The professor promised the children to diagnose himself .,The professors promised the child to diagnose himself .,-4.697701454162598,-5.6458539962768555,-4.099997520446777,0,0,0
promised,The professor promised the child to embarrass himself .,The professor promised the children to embarrass himself .,The professors promised the child to embarrass himself .,-6.090742588043213,-5.616971969604492,-6.708093643188477,1,1,1
promised,The professor promised the child to disguise himself .,The professor promised the children to disguise himself .,The professors promised the child to disguise himself .,-1.8645591735839844,-2.480483055114746,-2.2173194885253906,1,0,0
guaranteed,The professor guaranteed the lawyer to make fun of himself .,The professor guaranteed the lawyers to make fun of himself .,The professors guaranteed the lawyer to make fun of himself .,-4.980123519897461,-6.402150630950928,-5.237556457519531,1,0,0
guaranteed,The professor guaranteed the lawyer to examine himself .,The professor guaranteed the lawyers to examine himself .,The professors guaranteed the lawyer to examine himself .,-6.1348981857299805,-7.443819522857666,-6.4803032875061035,1,0,0
guaranteed,The professor guaranteed the lawyer to diagnose himself .,The professor guaranteed the lawyers to diagnose himself .,The professors guaranteed the lawyer to diagnose himself .,-5.1710429191589355,-6.973747730255127,-4.815176010131836,0,0,0
guaranteed,The professor guaranteed the lawyer to embarrass himself .,The professor guaranteed the lawyers to embarrass himself .,The professors guaranteed the lawyer to embarrass himself .,-4.4506425857543945,-6.969254493713379,-4.959386348724365,1,0,0
guaranteed,The professor guaranteed the lawyer to disguise himself .,The professor guaranteed the lawyers to disguise himself .,The professors guaranteed the lawyer to disguise himself .,-1.9520988464355469,-4.543112277984619,-1.6109323501586914,0,0,0
guaranteed,The professor guaranteed the artist to make fun of himself .,The professor guaranteed the artists to make fun of himself .,The professors guaranteed the artist to make fun of himself .,-3.8476953506469727,-5.0446696281433105,-3.498884677886963,0,0,0
guaranteed,The professor guaranteed the artist to examine himself .,The professor guaranteed the artists to examine himself .,The professors guaranteed the artist to examine himself .,-5.879607677459717,-7.975254535675049,-5.3094916343688965,0,0,0
guaranteed,The professor guaranteed the artist to diagnose himself .,The professor guaranteed the artists to diagnose himself .,The professors guaranteed the artist to diagnose himself .,-4.848623752593994,-7.146343231201172,-4.201724529266357,0,0,0
guaranteed,The professor guaranteed the artist to embarrass himself .,The professor guaranteed the artists to embarrass himself .,The professors guaranteed the artist to embarrass himself .,-2.4377994537353516,-4.7222747802734375,-2.3796443939208984,0,0,0
guaranteed,The professor guaranteed the artist to disguise himself .,The professor guaranteed the artists to disguise himself .,The professors guaranteed the artist to disguise himself .,-1.861556053161621,-4.820650100708008,-1.7069168090820312,0,0,0
guaranteed,The professor guaranteed the student to make fun of himself .,The professor guaranteed the students to make fun of himself .,The professors guaranteed the student to make fun of himself .,-4.64298152923584,-5.923526287078857,-4.231191635131836,0,0,0
guaranteed,The professor guaranteed the student to examine himself .,The professor guaranteed the students to examine himself .,The professors guaranteed the student to examine himself .,-6.0185370445251465,-7.695450782775879,-6.13999605178833,1,0,0
guaranteed,The professor guaranteed the student to diagnose himself .,The professor guaranteed the students to diagnose himself .,The professors guaranteed the student to diagnose himself .,-4.185182571411133,-6.18510627746582,-3.141172409057617,0,0,0
guaranteed,The professor guaranteed the student to embarrass himself .,The professor guaranteed the students to embarrass himself .,The professors guaranteed the student to embarrass himself .,-3.424386978149414,-5.31021785736084,-3.3866820335388184,0,0,0
guaranteed,The professor guaranteed the student to disguise himself .,The professor guaranteed the students to disguise himself .,The professors guaranteed the student to disguise himself .,-1.629425048828125,-4.496838569641113,-1.5310401916503906,0,0,0
guaranteed,The professor guaranteed the child to make fun of himself .,The professor guaranteed the children to make fun of himself .,The professors guaranteed the child to make fun of himself .,-4.489777565002441,-6.035068035125732,-3.7067818641662598,0,0,0
guaranteed,The professor guaranteed the child to examine himself .,The professor guaranteed the children to examine himself .,The professors guaranteed the child to examine himself .,-5.522790431976318,-7.152764320373535,-5.623799800872803,1,0,0
guaranteed,The professor guaranteed the child to diagnose himself .,The professor guaranteed the children to diagnose himself .,The professors guaranteed the child to diagnose himself .,-3.3896284103393555,-4.924359321594238,-2.7218337059020996,0,0,0
guaranteed,The professor guaranteed the child to embarrass himself .,The professor guaranteed the children to embarrass himself .,The professors guaranteed the child to embarrass himself .,-3.850849151611328,-6.094282150268555,-4.03279972076416,1,0,0
guaranteed,The professor guaranteed the child to disguise himself .,The professor guaranteed the children to disguise himself .,The professors guaranteed the child to disguise himself .,-1.2756757736206055,-4.615177631378174,-1.2356576919555664,0,0,0
offered,The professor offered the lawyer to make fun of himself .,The professor offered the lawyers to make fun of himself .,The professors offered the lawyer to make fun of himself .,-4.327787399291992,-5.641032695770264,-4.019481658935547,0,0,0
offered,The professor offered the lawyer to examine himself .,The professor offered the lawyers to examine himself .,The professors offered the lawyer to examine himself .,-6.11504602432251,-7.642122268676758,-6.868254661560059,1,0,0
offered,The professor offered the lawyer to diagnose himself .,The professor offered the lawyers to diagnose himself .,The professors offered the lawyer to diagnose himself .,-4.214364528656006,-5.839512825012207,-3.994041919708252,0,0,0
offered,The professor offered the lawyer to embarrass himself .,The professor offered the lawyers to embarrass himself .,The professors offered the lawyer to embarrass himself .,-5.733248233795166,-6.739235877990723,-6.204247951507568,1,0,0
offered,The professor offered the lawyer to disguise himself .,The professor offered the lawyers to disguise himself .,The professors offered the lawyer to disguise himself .,-1.1261558532714844,-3.75093936920166,-0.8064680099487305,0,0,0
offered,The professor offered the artist to make fun of himself .,The professor offered the artists to make fun of himself .,The professors offered the artist to make fun of himself .,-2.853248119354248,-4.657395362854004,-2.1996660232543945,0,0,0
offered,The professor offered the artist to examine himself .,The professor offered the artists to examine himself .,The professors offered the artist to examine himself .,-5.832554340362549,-7.391986846923828,-5.664855480194092,0,0,0
offered,The professor offered the artist to diagnose himself .,The professor offered the artists to diagnose himself .,The professors offered the artist to diagnose himself .,-3.5074610710144043,-5.472004413604736,-2.7756757736206055,0,0,0
offered,The professor offered the artist to embarrass himself .,The professor offered the artists to embarrass himself .,The professors offered the artist to embarrass himself .,-2.98746395111084,-3.7249584197998047,-2.9118566513061523,0,0,0
offered,The professor offered the artist to disguise himself .,The professor offered the artists to disguise himself .,The professors offered the artist to disguise himself .,-1.0385017395019531,-4.269771575927734,-0.7195291519165039,0,0,0
offered,The professor offered the student to make fun of himself .,The professor offered the students to make fun of himself .,The professors offered the student to make fun of himself .,-4.770720481872559,-5.1532440185546875,-3.998152732849121,0,0,0
offered,The professor offered the student to examine himself .,The professor offered the students to examine himself .,The professors offered the student to examine himself .,-6.178974151611328,-7.3459296226501465,-6.380655765533447,1,0,0
offered,The professor offered the student to diagnose himself .,The professor offered the students to diagnose himself .,The professors offered the student to diagnose himself .,-3.566657066345215,-4.978893756866455,-2.7305564880371094,0,0,0
offered,The professor offered the student to embarrass himself .,The professor offered the students to embarrass himself .,The professors offered the student to embarrass himself .,-4.666482448577881,-4.224109649658203,-4.209813594818115,0,0,0
offered,The professor offered the student to disguise himself .,The professor offered the students to disguise himself .,The professors offered the student to disguise himself .,-1.4728660583496094,-4.048069953918457,-1.1331396102905273,0,0,0
offered,The professor offered the child to make fun of himself .,The professor offered the children to make fun of himself .,The professors offered the child to make fun of himself .,-5.201883792877197,-5.751520156860352,-4.629751682281494,0,0,0
offered,The professor offered the child to examine himself .,The professor offered the children to examine himself .,The professors offered the child to examine himself .,-5.472443103790283,-7.274050712585449,-5.992000579833984,1,0,0
offered,The professor offered the child to diagnose himself .,The professor offered the children to diagnose himself .,The professors offered the child to diagnose himself .,-2.5558228492736816,-4.126916885375977,-2.4020214080810547,0,0,0
offered,The professor offered the child to embarrass himself .,The professor offered the children to embarrass himself .,The professors offered the child to embarrass himself .,-5.568418025970459,-5.357790470123291,-6.554643630981445,1,1,1
offered,The professor offered the child to disguise himself .,The professor offered the children to disguise himself .,The professors offered the child to disguise himself .,-1.287099838256836,-3.8912343978881836,-1.5352935791015625,1,0,0
promised,The lawyer promised the professor to make fun of himself .,The lawyer promised the professors to make fun of himself .,The lawyers promised the professor to make fun of himself .,-5.626829624176025,-7.190311431884766,-5.409801006317139,0,0,0
promised,The lawyer promised the professor to examine himself .,The lawyer promised the professors to examine himself .,The lawyers promised the professor to examine himself .,-7.657955646514893,-10.106613159179688,-7.807909965515137,1,0,0
promised,The lawyer promised the professor to diagnose himself .,The lawyer promised the professors to diagnose himself .,The lawyers promised the professor to diagnose himself .,-5.424535274505615,-6.853126525878906,-5.036444664001465,0,0,0
promised,The lawyer promised the professor to embarrass himself .,The lawyer promised the professors to embarrass himself .,The lawyers promised the professor to embarrass himself .,-7.1269755363464355,-7.803395748138428,-7.361790657043457,1,0,0
promised,The lawyer promised the professor to disguise himself .,The lawyer promised the professors to disguise himself .,The lawyers promised the professor to disguise himself .,-2.074734687805176,-3.426926612854004,-2.8158674240112305,1,0,0
promised,The lawyer promised the artist to make fun of himself .,The lawyer promised the artists to make fun of himself .,The lawyers promised the artist to make fun of himself .,-4.919185161590576,-6.153794288635254,-4.658558368682861,0,0,0
promised,The lawyer promised the artist to examine himself .,The lawyer promised the artists to examine himself .,The lawyers promised the artist to examine himself .,-8.153926849365234,-10.54478931427002,-8.293437957763672,1,0,0
