verb,baseline_sentence,distractor_sentence,ungrammatical_sentence,baseline_pron_log_prob,distractor_pron_log_prob,ungrammatical_pron_log_prob,baseline_greater_than_ungrammatical,distractor_greater_than_ungrammatical,correct
promised,The professor promised to make fun of himself .,The professor promised to make fun of himself .,The professors promised to make fun of himself .,-4.750343322753906,-4.750343322753906,-6.916496276855469,1,1,1
promised,The professor promised to examine himself .,The professor promised to examine himself .,The professors promised to examine himself .,-7.7950286865234375,-7.7950286865234375,-9.672409057617188,1,1,1
promised,The professor promised to diagnose himself .,The professor promised to diagnose himself .,The professors promised to diagnose himself .,-6.018867492675781,-6.018867492675781,-7.5539093017578125,1,1,1
promised,The professor promised to embarrass himself .,The professor promised to embarrass himself .,The professors promised to embarrass himself .,-3.1019363403320312,-3.1019363403320312,-5.973167419433594,1,1,1
promised,The professor promised to disguise himself .,The professor promised to disguise himself .,The professors promised to disguise himself .,-1.8822784423828125,-1.8822784423828125,-6.09552001953125,1,1,1
guaranteed,The professor guaranteed to make fun of himself .,The professor guaranteed to make fun of himself .,The professors guaranteed to make fun of himself .,-4.104217529296875,-4.104217529296875,-7.152641296386719,1,1,1
guaranteed,The professor guaranteed to examine himself .,The professor guaranteed to examine himself .,The professors guaranteed to examine himself .,-6.3119659423828125,-6.3119659423828125,-8.404373168945312,1,1,1
guaranteed,The professor guaranteed to diagnose himself .,The professor guaranteed to diagnose himself .,The professors guaranteed to diagnose himself .,-4.735466003417969,-4.735466003417969,-6.924385070800781,1,1,1
guaranteed,The professor guaranteed to embarrass himself .,The professor guaranteed to embarrass himself .,The professors guaranteed to embarrass himself .,-2.69915771484375,-2.69915771484375,-6.087486267089844,1,1,1
guaranteed,The professor guaranteed to disguise himself .,The professor guaranteed to disguise himself .,The professors guaranteed to disguise himself .,-1.226898193359375,-1.226898193359375,-4.977058410644531,1,1,1
offered,The professor offered to make fun of himself .,The professor offered to make fun of himself .,The professors offered to make fun of himself .,-5.365592956542969,-5.365592956542969,-7.6831817626953125,1,1,1
offered,The professor offered to examine himself .,The professor offered to examine himself .,The professors offered to examine himself .,-7.08819580078125,-7.08819580078125,-8.931846618652344,1,1,1
offered,The professor offered to diagnose himself .,The professor offered to diagnose himself .,The professors offered to diagnose himself .,-5.8577423095703125,-5.8577423095703125,-7.64276123046875,1,1,1
offered,The professor offered to embarrass himself .,The professor offered to embarrass himself .,The professors offered to embarrass himself .,-4.160980224609375,-4.160980224609375,-6.916114807128906,1,1,1
offered,The professor offered to disguise himself .,The professor offered to disguise himself .,The professors offered to disguise himself .,-1.3130722045898438,-1.3130722045898438,-5.3704376220703125,1,1,1
promised,The lawyer promised to make fun of himself .,The lawyer promised to make fun of himself .,The lawyers promised to make fun of himself .,-5.307640075683594,-5.307640075683594,-7.346748352050781,1,1,1
promised,The lawyer promised to examine himself .,The lawyer promised to examine himself .,The lawyers promised to examine himself .,-7.756256103515625,-7.756256103515625,-9.939300537109375,1,1,1
promised,The lawyer promised to diagnose himself .,The lawyer promised to diagnose himself .,The lawyers promised to diagnose himself .,-6.2858734130859375,-6.2858734130859375,-8.199394226074219,1,1,1
promised,The lawyer promised to embarrass himself .,The lawyer promised to embarrass himself .,The lawyers promised to embarrass himself .,-3.9502105712890625,-3.9502105712890625,-6.412818908691406,1,1,1
