sentence,tokens,log_probs
The professor persuaded the lawyer to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.216663360595703|||-0.48267173767089844|||-4.143568992614746|||-9.514764785766602|||-0.011362075805664062|||-3.472018241882324|||-8.39439582824707|||-8.842504501342773
The professor persuaded the lawyer to examine himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.216663360595703|||-0.48267173767089844|||-7.724837779998779|||-6.8053483963012695|||-8.293816566467285|||-8.91502571105957
The professor persuaded the lawyer to diagnose himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.216663360595703|||-0.48267173767089844|||-11.507028579711914|||-3.765753746032715|||-9.064854621887207|||-8.645546913146973
The professor persuaded the lawyer to embarrass himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.216663360595703|||-0.48267173767089844|||-11.447333335876465|||-2.8883352279663086|||-8.8016996383667|||-8.925302505493164
The professor persuaded the lawyer to disguise himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.216663360595703|||-0.48267173767089844|||-8.77796745300293|||-1.0452547073364258|||-9.939308166503906|||-9.340764999389648
The professor persuaded the artist to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.867447853088379|||-0.37255382537841797|||-3.2001657485961914|||-8.679378509521484|||-0.02379322052001953|||-2.0891504287719727|||-8.249459266662598|||-8.87063217163086
The professor persuaded the artist to examine himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.867447853088379|||-0.37255382537841797|||-8.258138656616211|||-5.195969581604004|||-8.94651985168457|||-9.026283264160156
The professor persuaded the artist to diagnose himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.867447853088379|||-0.37255382537841797|||-13.304109573364258|||-2.1029882431030273|||-9.22958755493164|||-8.629759788513184
The professor persuaded the artist to embarrass himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.867447853088379|||-0.37255382537841797|||-12.308573722839355|||-0.773158073425293|||-9.129655838012695|||-8.977629661560059
The professor persuaded the artist to disguise himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-10.367838859558105|||-1.47552490234375|||-7.867447853088379|||-0.37255382537841797|||-8.298772811889648|||-1.0657033920288086|||-10.304206848144531|||-9.331328392028809
