sentence,tokens,log_probs
The professor persuaded the lawyers to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.6613311767578125|||-0.4562835693359375|||-4.5404510498046875|||-7.638641357421875|||-0.006381988525390625|||-5.8332061767578125|||-7.6446685791015625|||-5.958732604980469
The professor persuaded the lawyers to examine himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.6613311767578125|||-0.4562835693359375|||-6.16583251953125|||-7.950981140136719|||-8.360671997070312|||-6.984710693359375
The professor persuaded the lawyers to diagnose himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.6613311767578125|||-0.4562835693359375|||-12.548828125|||-6.0667572021484375|||-9.26690673828125|||-6.7960662841796875
The professor persuaded the lawyers to embarrass himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.6613311767578125|||-0.4562835693359375|||-11.423080444335938|||-4.421089172363281|||-8.916717529296875|||-6.265663146972656
The professor persuaded the lawyers to disguise himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyers|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.6613311767578125|||-0.4562835693359375|||-11.239501953125|||-4.160652160644531|||-10.672042846679688|||-6.4770965576171875
The professor persuaded the artists to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-10.626953125|||-0.31103515625|||-3.2952423095703125|||-6.5917205810546875|||-0.013790130615234375|||-5.345447540283203|||-7.4376068115234375|||-5.724235534667969
The professor persuaded the artists to examine himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-10.626953125|||-0.31103515625|||-8.268447875976562|||-7.049522399902344|||-8.426094055175781|||-6.583488464355469
The professor persuaded the artists to diagnose himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-10.626953125|||-0.31103515625|||-13.494338989257812|||-5.519737243652344|||-9.088813781738281|||-6.4039154052734375
The professor persuaded the artists to embarrass himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-10.626953125|||-0.31103515625|||-12.070404052734375|||-4.297355651855469|||-8.640174865722656|||-6.015525817871094
The professor persuaded the artists to disguise himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartists|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-10.626953125|||-0.31103515625|||-8.902206420898438|||-4.024909973144531|||-10.335563659667969|||-6.173675537109375
The professor persuaded the students to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġstudents|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-2.4083099365234375|||-0.34112548828125|||-4.69207763671875|||-5.346031188964844|||-0.006938934326171875|||-5.371673583984375|||-7.63818359375|||-5.9283599853515625
The professor persuaded the students to examine himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġstudents|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-2.4083099365234375|||-0.34112548828125|||-7.0611419677734375|||-7.3822021484375|||-8.324676513671875|||-6.778129577636719
The professor persuaded the students to diagnose himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġstudents|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-2.4083099365234375|||-0.34112548828125|||-11.237472534179688|||-5.6604766845703125|||-9.183143615722656|||-6.563743591308594
The professor persuaded the students to embarrass himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġstudents|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-2.4083099365234375|||-0.34112548828125|||-11.175613403320312|||-4.671760559082031|||-8.950515747070312|||-6.305686950683594
The professor persuaded the students to disguise himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġstudents|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-2.4083099365234375|||-0.34112548828125|||-9.698883056640625|||-4.3299560546875|||-10.799583435058594|||-6.333251953125
The professor persuaded the children to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġchildren|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-5.903495788574219|||-0.5417556762695312|||-4.86328125|||-4.260955810546875|||-0.011264801025390625|||-5.5147552490234375|||-7.527740478515625|||-6.1004486083984375
