verb,baseline_sentence,distractor_sentence,ungrammatical_sentence,baseline_pron_log_prob,distractor_pron_log_prob,ungrammatical_pron_log_prob,baseline_greater_than_ungrammatical,distractor_greater_than_ungrammatical,correct
persuaded,The professor persuaded the lawyer to make fun of himself .,The professors persuaded the lawyer to make fun of himself .,The professor persuaded the lawyers to make fun of himself .,-3.472018241882324,-3.234315872192383,-4.510488033294678,1,1,1
persuaded,The professor persuaded the lawyer to examine himself .,The professors persuaded the lawyer to examine himself .,The professor persuaded the lawyers to examine himself .,-6.8053483963012695,-7.687007427215576,-8.175874710083008,1,1,1
persuaded,The professor persuaded the lawyer to diagnose himself .,The professors persuaded the lawyer to diagnose himself .,The professor persuaded the lawyers to diagnose himself .,-3.765753746032715,-3.368569850921631,-5.5326128005981445,1,1,1
persuaded,The professor persuaded the lawyer to embarrass himself .,The professors persuaded the lawyer to embarrass himself .,The professor persuaded the lawyers to embarrass himself .,-2.8883352279663086,-2.762118339538574,-5.236310958862305,1,1,1
persuaded,The professor persuaded the lawyer to disguise himself .,The professors persuaded the lawyer to disguise himself .,The professor persuaded the lawyers to disguise himself .,-1.0452547073364258,-0.9607858657836914,-3.9850997924804688,1,1,1
persuaded,The professor persuaded the artist to make fun of himself .,The professors persuaded the artist to make fun of himself .,The professor persuaded the artists to make fun of himself .,-2.0891504287719727,-1.9927301406860352,-4.407433032989502,1,1,1
persuaded,The professor persuaded the artist to examine himself .,The professors persuaded the artist to examine himself .,The professor persuaded the artists to examine himself .,-5.195969581604004,-5.071358680725098,-7.692152976989746,1,1,1
persuaded,The professor persuaded the artist to diagnose himself .,The professors persuaded the artist to diagnose himself .,The professor persuaded the artists to diagnose himself .,-2.1029882431030273,-1.8507604598999023,-5.432976722717285,1,1,1
persuaded,The professor persuaded the artist to embarrass himself .,The professors persuaded the artist to embarrass himself .,The professor persuaded the artists to embarrass himself .,-0.773158073425293,-0.7808809280395508,-4.660804748535156,1,1,1
persuaded,The professor persuaded the artist to disguise himself .,The professors persuaded the artist to disguise himself .,The professor persuaded the artists to disguise himself .,-1.0657033920288086,-1.114858627319336,-4.414127826690674,1,1,1
