sentence,tokens,log_probs
The professors persuaded the lawyer to make fun of himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.116899490356445|||-0.7228574752807617|||-4.251121520996094|||-9.767253875732422|||-0.014438629150390625|||-3.234315872192383|||-8.418428421020508|||-8.616811752319336
The professors persuaded the lawyer to examine himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.116899490356445|||-0.7228574752807617|||-7.844583511352539|||-7.687007427215576|||-8.43856430053711|||-8.72068977355957
The professors persuaded the lawyer to diagnose himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.116899490356445|||-0.7228574752807617|||-11.734667778015137|||-3.368569850921631|||-9.236196517944336|||-8.290766716003418
The professors persuaded the lawyer to embarrass himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.116899490356445|||-0.7228574752807617|||-11.905728340148926|||-2.762118339538574|||-8.85183334350586|||-8.764022827148438
The professors persuaded the lawyer to disguise himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.116899490356445|||-0.7228574752807617|||-9.516891479492188|||-0.9607858657836914|||-10.093687057495117|||-8.988490104675293
The professors persuaded the artist to make fun of himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.695428848266602|||-0.5609493255615234|||-3.266606330871582|||-8.576333999633789|||-0.03208446502685547|||-1.9927301406860352|||-8.201581954956055|||-8.432014465332031
The professors persuaded the artist to examine himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.695428848266602|||-0.5609493255615234|||-8.47318172454834|||-5.071358680725098|||-8.993945121765137|||-8.669136047363281
The professors persuaded the artist to diagnose himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.695428848266602|||-0.5609493255615234|||-13.575196266174316|||-1.8507604598999023|||-9.288670539855957|||-8.193333625793457
The professors persuaded the artist to embarrass himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.695428848266602|||-0.5609493255615234|||-12.504103660583496|||-0.7808809280395508|||-9.207183837890625|||-8.658523559570312
The professors persuaded the artist to disguise himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-8.695428848266602|||-0.5609493255615234|||-8.552030563354492|||-1.114858627319336|||-10.281974792480469|||-8.894539833068848
The professors persuaded the student to make fun of himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġstudent|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-3.4431419372558594|||-1.0005064010620117|||-4.651641845703125|||-8.2529935836792|||-0.015358924865722656|||-3.3824939727783203|||-8.83430290222168|||-8.41033935546875
The professors persuaded the student to examine himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġstudent|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-3.4431419372558594|||-1.0005064010620117|||-8.631484031677246|||-6.135592460632324|||-8.935394287109375|||-8.897021293640137
The professors persuaded the student to diagnose himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġstudent|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-3.4431419372558594|||-1.0005064010620117|||-11.225273132324219|||-1.1295804977416992|||-9.722664833068848|||-8.328451156616211
The professors persuaded the student to embarrass himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġstudent|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-3.4431419372558594|||-1.0005064010620117|||-11.457154273986816|||-1.670027732849121|||-9.610919952392578|||-8.79734992980957
The professors persuaded the student to disguise himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġstudent|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-3.4431419372558594|||-1.0005064010620117|||-9.58029556274414|||-0.9438867568969727|||-10.463863372802734|||-9.039731979370117
The professors persuaded the child to make fun of himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġchild|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-7.078173637390137|||-0.7829570770263672|||-4.777790069580078|||-7.325599193572998|||-0.015707969665527344|||-2.6892738342285156|||-8.703147888183594|||-8.547513961791992
The professors persuaded the child to examine himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġchild|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-10.435161590576172|||-1.3161592483520508|||-7.078173637390137|||-0.7829570770263672|||-8.633931159973145|||-4.714480400085449|||-8.931514739990234|||-8.966185569763184
