sentence,tokens,log_probs
The professors promised to make fun of himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-0.9372329711914062|||-3.73406982421875|||-7.4977264404296875|||-0.014125823974609375|||-6.916496276855469|||-7.5709228515625|||-5.720909118652344
The professors promised to examine himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-0.9372329711914062|||-5.7579498291015625|||-9.672409057617188|||-8.775985717773438|||-6.579612731933594
The professors promised to diagnose himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-0.9372329711914062|||-10.563674926757812|||-7.5539093017578125|||-8.714378356933594|||-6.3909759521484375
The professors promised to embarrass himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-0.9372329711914062|||-10.434814453125|||-5.973167419433594|||-8.364555358886719|||-5.97003173828125
The professors promised to disguise himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-0.9372329711914062|||-11.075393676757812|||-6.09552001953125|||-10.087226867675781|||-6.124229431152344
The professors guaranteed to make fun of himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5853500366210938|||-3.5668258666992188|||-4.189109802246094|||-0.01618194580078125|||-7.152641296386719|||-7.2919921875|||-5.986602783203125
The professors guaranteed to examine himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5853500366210938|||-7.87030029296875|||-8.404373168945312|||-8.372840881347656|||-7.186126708984375
The professors guaranteed to diagnose himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5853500366210938|||-9.959701538085938|||-6.924385070800781|||-8.470657348632812|||-6.9586334228515625
The professors guaranteed to embarrass himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5853500366210938|||-7.811737060546875|||-6.087486267089844|||-7.99835205078125|||-6.430854797363281
The professors guaranteed to disguise himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5853500366210938|||-10.950660705566406|||-4.977058410644531|||-9.114128112792969|||-6.689262390136719
The professors offered to make fun of himself .,The|||Ġprofessors|||Ġoffered|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-6.9513397216796875|||-2.843414306640625|||-4.54266357421875|||-5.836814880371094|||-0.012966156005859375|||-7.6831817626953125|||-7.683540344238281|||-6.090667724609375
The professors offered to examine himself .,The|||Ġprofessors|||Ġoffered|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-6.9513397216796875|||-2.843414306640625|||-5.7418365478515625|||-8.931846618652344|||-8.618843078613281|||-7.032562255859375
