sentence,tokens,log_probs
The professor promised to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-0.9006690979003906|||-3.787811279296875|||-7.7844390869140625|||-0.0130462646484375|||-4.750343322753906|||-7.758659362792969|||-5.2852325439453125
The professor promised to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-0.9006690979003906|||-5.8804168701171875|||-7.7950286865234375|||-8.640365600585938|||-5.749351501464844
The professor promised to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-0.9006690979003906|||-10.550369262695312|||-6.018867492675781|||-8.72552490234375|||-5.594215393066406
The professor promised to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-0.9006690979003906|||-10.344467163085938|||-3.1019363403320312|||-8.397087097167969|||-5.422035217285156
The professor promised to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-0.9006690979003906|||-10.528778076171875|||-1.8822784423828125|||-10.268821716308594|||-5.48455810546875
The professor guaranteed to make fun of himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-3.0226058959960938|||-3.6012420654296875|||-5.078697204589844|||-0.014904022216796875|||-4.104217529296875|||-7.357566833496094|||-5.642250061035156
The professor guaranteed to examine himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-3.0226058959960938|||-8.232696533203125|||-6.3119659423828125|||-8.175445556640625|||-6.452484130859375
The professor guaranteed to diagnose himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-3.0226058959960938|||-10.035560607910156|||-4.735466003417969|||-8.441001892089844|||-6.279441833496094
The professor guaranteed to embarrass himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-3.0226058959960938|||-7.887054443359375|||-2.69915771484375|||-7.93035888671875|||-5.999336242675781
The professor guaranteed to disguise himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-3.0226058959960938|||-10.699958801269531|||-1.226898193359375|||-9.366508483886719|||-6.102447509765625
The professor offered to make fun of himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.1647796630859375|||-2.7841567993164062|||-4.4766998291015625|||-6.677528381347656|||-0.01090240478515625|||-5.365592956542969|||-8.036460876464844|||-5.738739013671875
The professor offered to examine himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.1647796630859375|||-2.7841567993164062|||-6.131805419921875|||-7.08819580078125|||-8.614418029785156|||-6.407379150390625
The professor offered to diagnose himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.1647796630859375|||-2.7841567993164062|||-9.068603515625|||-5.8577423095703125|||-8.830078125|||-6.125587463378906
The professor offered to embarrass himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.1647796630859375|||-2.7841567993164062|||-10.953170776367188|||-4.160980224609375|||-9.005928039550781|||-6.032585144042969
The professor offered to disguise himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.1647796630859375|||-2.7841567993164062|||-10.424285888671875|||-1.3130722045898438|||-10.535743713378906|||-5.9327545166015625
The lawyer promised to make fun of himself .,The|||Ġlawyer|||Ġpromised|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.222038269042969|||-9.16387939453125|||-0.8773002624511719|||-3.943267822265625|||-9.167633056640625|||-0.012279510498046875|||-5.307640075683594|||-8.012016296386719|||-5.109565734863281
The lawyer promised to examine himself .,The|||Ġlawyer|||Ġpromised|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.222038269042969|||-9.16387939453125|||-0.8773002624511719|||-6.5850372314453125|||-7.756256103515625|||-8.9271240234375|||-5.542999267578125
The lawyer promised to diagnose himself .,The|||Ġlawyer|||Ġpromised|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.222038269042969|||-9.16387939453125|||-0.8773002624511719|||-12.7130126953125|||-6.2858734130859375|||-8.908638000488281|||-5.509185791015625
The lawyer promised to embarrass himself .,The|||Ġlawyer|||Ġpromised|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.222038269042969|||-9.16387939453125|||-0.8773002624511719|||-10.535812377929688|||-3.9502105712890625|||-8.822021484375|||-5.329681396484375
