sentence,tokens,log_probs
The professors persuaded the lawyer to make fun of himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-7.945404052734375|||-0.5636367797851562|||-4.513641357421875|||-8.084884643554688|||-0.005462646484375|||-5.616096496582031|||-7.599037170410156|||-6.06182861328125
The professors persuaded the lawyer to examine himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-7.945404052734375|||-0.5636367797851562|||-6.6859130859375|||-7.060630798339844|||-8.275726318359375|||-7.2040557861328125
The professors persuaded the lawyer to diagnose himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-7.945404052734375|||-0.5636367797851562|||-11.84613037109375|||-4.657951354980469|||-9.207588195800781|||-6.925743103027344
The professors persuaded the lawyer to embarrass himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-7.945404052734375|||-0.5636367797851562|||-11.402252197265625|||-2.9264297485351562|||-8.991767883300781|||-6.362754821777344
The professors persuaded the lawyer to disguise himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-7.945404052734375|||-0.5636367797851562|||-10.513565063476562|||-1.7789764404296875|||-10.547256469726562|||-6.542991638183594
The professors persuaded the artist to make fun of himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-10.649513244628906|||-0.347015380859375|||-3.11444091796875|||-7.416450500488281|||-0.01381683349609375|||-4.4317474365234375|||-7.618110656738281|||-5.8654022216796875
The professors persuaded the artist to examine himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-10.649513244628906|||-0.347015380859375|||-8.38702392578125|||-5.445465087890625|||-8.699119567871094|||-6.727470397949219
The professors persuaded the artist to diagnose himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-10.649513244628906|||-0.347015380859375|||-13.367172241210938|||-3.9296417236328125|||-8.926963806152344|||-6.5115814208984375
The professors persuaded the artist to embarrass himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-10.649513244628906|||-0.347015380859375|||-12.444015502929688|||-2.1942062377929688|||-8.673744201660156|||-6.1101531982421875
The professors persuaded the artist to disguise himself .,The|||Ġprofessors|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-9.699920654296875|||-1.464874267578125|||-10.649513244628906|||-0.347015380859375|||-8.677902221679688|||-1.6577644348144531|||-10.288360595703125|||-6.207366943359375
