verb,baseline_sentence,distractor_sentence,ungrammatical_sentence,baseline_pron_log_prob,distractor_pron_log_prob,ungrammatical_pron_log_prob,baseline_greater_than_ungrammatical,distractor_greater_than_ungrammatical,correct
promised,The professor promised to make fun of himself .,The professor promised to make fun of himself .,The professors promised to make fun of himself .,-5.386699676513672,-5.386699676513672,-6.59844970703125,1,1,1
promised,The professor promised to examine himself .,The professor promised to examine himself .,The professors promised to examine himself .,-7.798344612121582,-7.798344612121582,-9.871319770812988,1,1,1
promised,The professor promised to diagnose himself .,The professor promised to diagnose himself .,The professors promised to diagnose himself .,-5.448482513427734,-5.448482513427734,-6.9682817459106445,1,1,1
promised,The professor promised to embarrass himself .,The professor promised to embarrass himself .,The professors promised to embarrass himself .,-4.562274932861328,-4.562274932861328,-7.299141883850098,1,1,1
promised,The professor promised to disguise himself .,The professor promised to disguise himself .,The professors promised to disguise himself .,-1.49224853515625,-1.49224853515625,-5.869610786437988,1,1,1
guaranteed,The professor guaranteed to make fun of himself .,The professor guaranteed to make fun of himself .,The professors guaranteed to make fun of himself .,-5.1774702072143555,-5.1774702072143555,-8.658300399780273,1,1,1
guaranteed,The professor guaranteed to examine himself .,The professor guaranteed to examine himself .,The professors guaranteed to examine himself .,-7.140668869018555,-7.140668869018555,-8.308734893798828,1,1,1
guaranteed,The professor guaranteed to diagnose himself .,The professor guaranteed to diagnose himself .,The professors guaranteed to diagnose himself .,-6.033761501312256,-6.033761501312256,-7.856342315673828,1,1,1
guaranteed,The professor guaranteed to embarrass himself .,The professor guaranteed to embarrass himself .,The professors guaranteed to embarrass himself .,-3.2539734840393066,-3.2539734840393066,-6.834056377410889,1,1,1
guaranteed,The professor guaranteed to disguise himself .,The professor guaranteed to disguise himself .,The professors guaranteed to disguise himself .,-1.2117280960083008,-1.2117280960083008,-6.387744903564453,1,1,1
offered,The professor offered to make fun of himself .,The professor offered to make fun of himself .,The professors offered to make fun of himself .,-4.792585849761963,-4.792585849761963,-6.492341041564941,1,1,1
offered,The professor offered to examine himself .,The professor offered to examine himself .,The professors offered to examine himself .,-7.694551467895508,-7.694551467895508,-8.326526641845703,1,1,1
offered,The professor offered to diagnose himself .,The professor offered to diagnose himself .,The professors offered to diagnose himself .,-5.232030391693115,-5.232030391693115,-6.9741973876953125,1,1,1
offered,The professor offered to embarrass himself .,The professor offered to embarrass himself .,The professors offered to embarrass himself .,-3.4567928314208984,-3.4567928314208984,-6.353830337524414,1,1,1
offered,The professor offered to disguise himself .,The professor offered to disguise himself .,The professors offered to disguise himself .,-1.5507583618164062,-1.5507583618164062,-5.443052768707275,1,1,1
promised,The lawyer promised to make fun of himself .,The lawyer promised to make fun of himself .,The lawyers promised to make fun of himself .,-5.677631855010986,-5.677631855010986,-6.735316276550293,1,1,1
promised,The lawyer promised to examine himself .,The lawyer promised to examine himself .,The lawyers promised to examine himself .,-8.964274406433105,-8.964274406433105,-9.640095710754395,1,1,1
promised,The lawyer promised to diagnose himself .,The lawyer promised to diagnose himself .,The lawyers promised to diagnose himself .,-5.991827487945557,-5.991827487945557,-7.265276908874512,1,1,1
promised,The lawyer promised to embarrass himself .,The lawyer promised to embarrass himself .,The lawyers promised to embarrass himself .,-6.323333263397217,-6.323333263397217,-8.336753845214844,1,1,1
promised,The lawyer promised to disguise himself .,The lawyer promised to disguise himself .,The lawyers promised to disguise himself .,-2.603322982788086,-2.603322982788086,-5.6777472496032715,1,1,1
guaranteed,The lawyer guaranteed to make fun of himself .,The lawyer guaranteed to make fun of himself .,The lawyers guaranteed to make fun of himself .,-6.028332710266113,-6.028332710266113,-8.743860244750977,1,1,1
guaranteed,The lawyer guaranteed to examine himself .,The lawyer guaranteed to examine himself .,The lawyers guaranteed to examine himself .,-8.297794342041016,-8.297794342041016,-9.574952125549316,1,1,1
guaranteed,The lawyer guaranteed to diagnose himself .,The lawyer guaranteed to diagnose himself .,The lawyers guaranteed to diagnose himself .,-7.882819652557373,-7.882819652557373,-9.515570640563965,1,1,1
guaranteed,The lawyer guaranteed to embarrass himself .,The lawyer guaranteed to embarrass himself .,The lawyers guaranteed to embarrass himself .,-5.292856216430664,-5.292856216430664,-8.266155242919922,1,1,1
guaranteed,The lawyer guaranteed to disguise himself .,The lawyer guaranteed to disguise himself .,The lawyers guaranteed to disguise himself .,-3.280825614929199,-3.280825614929199,-6.651655673980713,1,1,1
offered,The lawyer offered to make fun of himself .,The lawyer offered to make fun of himself .,The lawyers offered to make fun of himself .,-5.618534088134766,-5.618534088134766,-6.860916614532471,1,1,1
offered,The lawyer offered to examine himself .,The lawyer offered to examine himself .,The lawyers offered to examine himself .,-8.536852836608887,-8.536852836608887,-9.377998352050781,1,1,1
offered,The lawyer offered to diagnose himself .,The lawyer offered to diagnose himself .,The lawyers offered to diagnose himself .,-6.153182029724121,-6.153182029724121,-7.742362022399902,1,1,1
offered,The lawyer offered to embarrass himself .,The lawyer offered to embarrass himself .,The lawyers offered to embarrass himself .,-5.666782855987549,-5.666782855987549,-7.676245212554932,1,1,1
offered,The lawyer offered to disguise himself .,The lawyer offered to disguise himself .,The lawyers offered to disguise himself .,-2.5238208770751953,-2.5238208770751953,-5.478730201721191,1,1,1
promised,The artist promised to make fun of himself .,The artist promised to make fun of himself .,The artists promised to make fun of himself .,-4.192351341247559,-4.192351341247559,-6.991839408874512,1,1,1
promised,The artist promised to examine himself .,The artist promised to examine himself .,The artists promised to examine himself .,-7.315496444702148,-7.315496444702148,-11.273296356201172,1,1,1
promised,The artist promised to diagnose himself .,The artist promised to diagnose himself .,The artists promised to diagnose himself .,-4.107398986816406,-4.107398986816406,-7.594320297241211,1,1,1
promised,The artist promised to embarrass himself .,The artist promised to embarrass himself .,The artists promised to embarrass himself .,-2.9966812133789062,-2.9966812133789062,-6.064788341522217,1,1,1
promised,The artist promised to disguise himself .,The artist promised to disguise himself .,The artists promised to disguise himself .,-2.2476024627685547,-2.2476024627685547,-5.849196434020996,1,1,1
guaranteed,The artist guaranteed to make fun of himself .,The artist guaranteed to make fun of himself .,The artists guaranteed to make fun of himself .,-4.555028438568115,-4.555028438568115,-7.843963623046875,1,1,1
guaranteed,The artist guaranteed to examine himself .,The artist guaranteed to examine himself .,The artists guaranteed to examine himself .,-7.073141098022461,-7.073141098022461,-8.636287689208984,1,1,1
guaranteed,The artist guaranteed to diagnose himself .,The artist guaranteed to diagnose himself .,The artists guaranteed to diagnose himself .,-6.568831920623779,-6.568831920623779,-8.448955535888672,1,1,1
guaranteed,The artist guaranteed to embarrass himself .,The artist guaranteed to embarrass himself .,The artists guaranteed to embarrass himself .,-4.277862071990967,-4.277862071990967,-7.338169097900391,1,1,1
guaranteed,The artist guaranteed to disguise himself .,The artist guaranteed to disguise himself .,The artists guaranteed to disguise himself .,-3.4752964973449707,-3.4752964973449707,-6.927550315856934,1,1,1
offered,The artist offered to make fun of himself .,The artist offered to make fun of himself .,The artists offered to make fun of himself .,-3.540229320526123,-3.540229320526123,-6.534332275390625,1,1,1
offered,The artist offered to examine himself .,The artist offered to examine himself .,The artists offered to examine himself .,-6.411154270172119,-6.411154270172119,-8.36623764038086,1,1,1
offered,The artist offered to diagnose himself .,The artist offered to diagnose himself .,The artists offered to diagnose himself .,-4.047722816467285,-4.047722816467285,-7.190121173858643,1,1,1
offered,The artist offered to embarrass himself .,The artist offered to embarrass himself .,The artists offered to embarrass himself .,-2.6783041954040527,-2.6783041954040527,-5.301664352416992,1,1,1
offered,The artist offered to disguise himself .,The artist offered to disguise himself .,The artists offered to disguise himself .,-1.666748046875,-1.666748046875,-5.1673903465271,1,1,1
promised,The student promised to make fun of himself .,The student promised to make fun of himself .,The students promised to make fun of himself .,-5.083902359008789,-5.083902359008789,-7.115130424499512,1,1,1
promised,The student promised to examine himself .,The student promised to examine himself .,The students promised to examine himself .,-6.198760986328125,-6.198760986328125,-9.740522384643555,1,1,1
promised,The student promised to diagnose himself .,The student promised to diagnose himself .,The students promised to diagnose himself .,-3.7955775260925293,-3.7955775260925293,-6.669250965118408,1,1,1
promised,The student promised to embarrass himself .,The student promised to embarrass himself .,The students promised to embarrass himself .,-4.416158199310303,-4.416158199310303,-8.17454719543457,1,1,1
promised,The student promised to disguise himself .,The student promised to disguise himself .,The students promised to disguise himself .,-0.8432750701904297,-0.8432750701904297,-5.902351379394531,1,1,1
guaranteed,The student guaranteed to make fun of himself .,The student guaranteed to make fun of himself .,The students guaranteed to make fun of himself .,-3.2688117027282715,-3.2688117027282715,-7.801898002624512,1,1,1
guaranteed,The student guaranteed to examine himself .,The student guaranteed to examine himself .,The students guaranteed to examine himself .,-4.5675883293151855,-4.5675883293151855,-8.195601463317871,1,1,1
guaranteed,The student guaranteed to diagnose himself .,The student guaranteed to diagnose himself .,The students guaranteed to diagnose himself .,-3.8429431915283203,-3.8429431915283203,-7.155083179473877,1,1,1
guaranteed,The student guaranteed to embarrass himself .,The student guaranteed to embarrass himself .,The students guaranteed to embarrass himself .,-2.3044233322143555,-2.3044233322143555,-6.878369331359863,1,1,1
guaranteed,The student guaranteed to disguise himself .,The student guaranteed to disguise himself .,The students guaranteed to disguise himself .,-0.7891111373901367,-0.7891111373901367,-6.937298774719238,1,1,1
offered,The student offered to make fun of himself .,The student offered to make fun of himself .,The students offered to make fun of himself .,-4.891232013702393,-4.891232013702393,-7.2723774909973145,1,1,1
offered,The student offered to examine himself .,The student offered to examine himself .,The students offered to examine himself .,-6.829974174499512,-6.829974174499512,-9.131692886352539,1,1,1
offered,The student offered to diagnose himself .,The student offered to diagnose himself .,The students offered to diagnose himself .,-4.433427333831787,-4.433427333831787,-7.346120357513428,1,1,1
offered,The student offered to embarrass himself .,The student offered to embarrass himself .,The students offered to embarrass himself .,-3.168358325958252,-3.168358325958252,-6.576114177703857,1,1,1
offered,The student offered to disguise himself .,The student offered to disguise himself .,The students offered to disguise himself .,-0.6356515884399414,-0.6356515884399414,-5.86865758895874,1,1,1
promised,The child promised to make fun of himself .,The child promised to make fun of himself .,The children promised to make fun of himself .,-5.051241397857666,-5.051241397857666,-8.46500301361084,1,1,1
promised,The child promised to examine himself .,The child promised to examine himself .,The children promised to examine himself .,-5.66826868057251,-5.66826868057251,-8.22169303894043,1,1,1
promised,The child promised to diagnose himself .,The child promised to diagnose himself .,The children promised to diagnose himself .,-3.5170035362243652,-3.5170035362243652,-6.725213527679443,1,1,1
promised,The child promised to embarrass himself .,The child promised to embarrass himself .,The children promised to embarrass himself .,-4.359714031219482,-4.359714031219482,-8.93124771118164,1,1,1
promised,The child promised to disguise himself .,The child promised to disguise himself .,The children promised to disguise himself .,-0.7978458404541016,-0.7978458404541016,-5.383906364440918,1,1,1
guaranteed,The child guaranteed to make fun of himself .,The child guaranteed to make fun of himself .,The children guaranteed to make fun of himself .,-3.949723243713379,-3.949723243713379,-8.361876487731934,1,1,1
guaranteed,The child guaranteed to examine himself .,The child guaranteed to examine himself .,The children guaranteed to examine himself .,-4.748819351196289,-4.748819351196289,-8.681550025939941,1,1,1
guaranteed,The child guaranteed to diagnose himself .,The child guaranteed to diagnose himself .,The children guaranteed to diagnose himself .,-3.0323572158813477,-3.0323572158813477,-6.971946716308594,1,1,1
guaranteed,The child guaranteed to embarrass himself .,The child guaranteed to embarrass himself .,The children guaranteed to embarrass himself .,-3.0202674865722656,-3.0202674865722656,-7.653990268707275,1,1,1
guaranteed,The child guaranteed to disguise himself .,The child guaranteed to disguise himself .,The children guaranteed to disguise himself .,-1.230422019958496,-1.230422019958496,-6.558517932891846,1,1,1
offered,The child offered to make fun of himself .,The child offered to make fun of himself .,The children offered to make fun of himself .,-5.436546325683594,-5.436546325683594,-8.010048866271973,1,1,1
offered,The child offered to examine himself .,The child offered to examine himself .,The children offered to examine himself .,-6.891136169433594,-6.891136169433594,-9.467842102050781,1,1,1
offered,The child offered to diagnose himself .,The child offered to diagnose himself .,The children offered to diagnose himself .,-3.6479239463806152,-3.6479239463806152,-7.017801284790039,1,1,1
offered,The child offered to embarrass himself .,The child offered to embarrass himself .,The children offered to embarrass himself .,-3.9207849502563477,-3.9207849502563477,-7.787508964538574,1,1,1
offered,The child offered to disguise himself .,The child offered to disguise himself .,The children offered to disguise himself .,-0.8256235122680664,-0.8256235122680664,-5.584260940551758,1,1,1
