sentence,tokens,log_probs
The professor promised to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-1.1194934844970703|||-3.5164947509765625|||-7.026316165924072|||-0.025597572326660156|||-5.386699676513672|||-8.517413139343262|||-9.010976791381836
The professor promised to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-1.1194934844970703|||-6.4627227783203125|||-7.798344612121582|||-8.905257225036621|||-8.636661529541016
The professor promised to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-1.1194934844970703|||-9.669514656066895|||-5.448482513427734|||-8.7019681930542|||-8.839396476745605
The professor promised to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-1.1194934844970703|||-10.860023498535156|||-4.562274932861328|||-8.160381317138672|||-9.373723983764648
The professor promised to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-1.1194934844970703|||-10.188968658447266|||-1.49224853515625|||-9.950188636779785|||-9.145294189453125
The professor guaranteed to make fun of himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-12.309844970703125|||-2.916971206665039|||-2.840489387512207|||-7.731945037841797|||-0.02335643768310547|||-5.1774702072143555|||-7.863954544067383|||-8.746074676513672
The professor guaranteed to examine himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-12.309844970703125|||-2.916971206665039|||-8.612372398376465|||-7.140668869018555|||-8.331521987915039|||-8.612210273742676
The professor guaranteed to diagnose himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-12.309844970703125|||-2.916971206665039|||-8.79246711730957|||-6.033761501312256|||-8.106942176818848|||-8.500663757324219
The professor guaranteed to embarrass himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-12.309844970703125|||-2.916971206665039|||-7.90202522277832|||-3.2539734840393066|||-7.912142753601074|||-8.588430404663086
The professor guaranteed to disguise himself .,The|||Ġprofessor|||Ġguaranteed|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-12.309844970703125|||-2.916971206665039|||-11.291322708129883|||-1.2117280960083008|||-8.694564819335938|||-9.356642723083496
The professor offered to make fun of himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-7.007205009460449|||-2.1430530548095703|||-4.224287033081055|||-7.503203868865967|||-0.04510307312011719|||-4.792585849761963|||-8.55777645111084|||-9.122812271118164
The professor offered to examine himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-7.007205009460449|||-2.1430530548095703|||-7.297301769256592|||-7.694551467895508|||-8.720922470092773|||-8.684891700744629
The professor offered to diagnose himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-7.007205009460449|||-2.1430530548095703|||-9.412981986999512|||-5.232030391693115|||-8.049564361572266|||-8.663103103637695
The professor offered to embarrass himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-7.007205009460449|||-2.1430530548095703|||-11.30750560760498|||-3.4567928314208984|||-8.605103492736816|||-9.441431999206543
The professor offered to disguise himself .,The|||Ġprofessor|||Ġoffered|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-7.007205009460449|||-2.1430530548095703|||-10.813539505004883|||-1.5507583618164062|||-10.654754638671875|||-9.23401165008545
The lawyer promised to make fun of himself .,The|||Ġlawyer|||Ġpromised|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-8.81498908996582|||-10.238205909729004|||-1.0339241027832031|||-3.864699363708496|||-8.184280395507812|||-0.02389812469482422|||-5.677631855010986|||-8.212666511535645|||-8.866835594177246
