sentence,tokens,log_probs
The professor promised the lawyer to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.792381286621094|||-2.9206314086914062|||-3.905059814453125|||-8.907073974609375|||-0.010120391845703125|||-5.0175018310546875|||-7.789665222167969|||-4.940086364746094
The professor promised the lawyer to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.792381286621094|||-2.9206314086914062|||-5.959869384765625|||-6.767066955566406|||-8.564125061035156|||-5.439849853515625
The professor promised the lawyer to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.792381286621094|||-2.9206314086914062|||-11.779632568359375|||-5.733619689941406|||-8.671401977539062|||-5.473838806152344
The professor promised the lawyer to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.792381286621094|||-2.9206314086914062|||-10.627532958984375|||-3.0882034301757812|||-8.549362182617188|||-5.1142120361328125
The professor promised the lawyer to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.792381286621094|||-2.9206314086914062|||-10.004745483398438|||-1.6416473388671875|||-9.845329284667969|||-5.195098876953125
The professor promised the artist to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.400459289550781|||-3.6795120239257812|||-3.4522705078125|||-7.095062255859375|||-0.026218414306640625|||-4.157890319824219|||-7.456367492675781|||-4.67706298828125
The professor promised the artist to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.400459289550781|||-3.6795120239257812|||-8.173797607421875|||-5.603111267089844|||-8.667823791503906|||-5.152587890625
The professor promised the artist to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.400459289550781|||-3.6795120239257812|||-12.896240234375|||-5.019378662109375|||-8.54217529296875|||-5.007255554199219
The professor promised the artist to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.400459289550781|||-3.6795120239257812|||-11.489303588867188|||-2.7456512451171875|||-8.286994934082031|||-4.821937561035156
The professor promised the artist to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.400459289550781|||-3.6795120239257812|||-9.374099731445312|||-1.8418197631835938|||-9.592491149902344|||-4.914680480957031
The professor promised the student to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-4.586097717285156|||-3.5544509887695312|||-4.218040466308594|||-7.362220764160156|||-0.013309478759765625|||-3.7449188232421875|||-7.898216247558594|||-5.1627655029296875
