verb,baseline_sentence,distractor_sentence,ungrammatical_sentence,baseline_pron_log_prob,distractor_pron_log_prob,ungrammatical_pron_log_prob,baseline_greater_than_ungrammatical,distractor_greater_than_ungrammatical,correct
promised,The professor promised the lawyer to make fun of himself .,The professor promised the lawyers to make fun of himself .,The professors promised the lawyer to make fun of himself .,-5.0175018310546875,-5.860801696777344,-5.752166748046875,1,0,0
promised,The professor promised the lawyer to examine himself .,The professor promised the lawyers to examine himself .,The professors promised the lawyer to examine himself .,-6.767066955566406,-8.066085815429688,-7.4608612060546875,1,0,0
promised,The professor promised the lawyer to diagnose himself .,The professor promised the lawyers to diagnose himself .,The professors promised the lawyer to diagnose himself .,-5.733619689941406,-7.023963928222656,-6.110008239746094,1,0,0
promised,The professor promised the lawyer to embarrass himself .,The professor promised the lawyers to embarrass himself .,The professors promised the lawyer to embarrass himself .,-3.0882034301757812,-4.2628326416015625,-3.5202865600585938,1,0,0
promised,The professor promised the lawyer to disguise himself .,The professor promised the lawyers to disguise himself .,The professors promised the lawyer to disguise himself .,-1.6416473388671875,-4.332908630371094,-1.7963409423828125,1,0,0
promised,The professor promised the artist to make fun of himself .,The professor promised the artists to make fun of himself .,The professors promised the artist to make fun of himself .,-4.157890319824219,-5.24609375,-4.573829650878906,1,0,0
promised,The professor promised the artist to examine himself .,The professor promised the artists to examine himself .,The professors promised the artist to examine himself .,-5.603111267089844,-7.466705322265625,-5.90789794921875,1,0,0
promised,The professor promised the artist to diagnose himself .,The professor promised the artists to diagnose himself .,The professors promised the artist to diagnose himself .,-5.019378662109375,-6.722419738769531,-5.05987548828125,1,0,0
promised,The professor promised the artist to embarrass himself .,The professor promised the artists to embarrass himself .,The professors promised the artist to embarrass himself .,-2.7456512451171875,-4.266357421875,-2.8256759643554688,1,0,0
promised,The professor promised the artist to disguise himself .,The professor promised the artists to disguise himself .,The professors promised the artist to disguise himself .,-1.8418197631835938,-4.5798492431640625,-2.0284423828125,1,0,0
promised,The professor promised the student to make fun of himself .,The professor promised the students to make fun of himself .,The professors promised the student to make fun of himself .,-3.7449188232421875,-5.265830993652344,-4.577919006347656,1,0,0
promised,The professor promised the student to examine himself .,The professor promised the students to examine himself .,The professors promised the student to examine himself .,-5.157768249511719,-7.391639709472656,-5.525794982910156,1,0,0
promised,The professor promised the student to diagnose himself .,The professor promised the students to diagnose himself .,The professors promised the student to diagnose himself .,-4.247123718261719,-6.6333465576171875,-4.3590545654296875,1,0,0
promised,The professor promised the student to embarrass himself .,The professor promised the students to embarrass himself .,The professors promised the student to embarrass himself .,-1.9505157470703125,-4.433685302734375,-2.4471817016601562,1,0,0
promised,The professor promised the student to disguise himself .,The professor promised the students to disguise himself .,The professors promised the student to disguise himself .,-1.43060302734375,-4.7649993896484375,-1.9450759887695312,1,0,0
promised,The professor promised the child to make fun of himself .,The professor promised the children to make fun of himself .,The professors promised the child to make fun of himself .,-3.1232070922851562,-5.180328369140625,-3.7226028442382812,1,0,0
promised,The professor promised the child to examine himself .,The professor promised the children to examine himself .,The professors promised the child to examine himself .,-4.157951354980469,-6.864173889160156,-4.3885040283203125,1,0,0
promised,The professor promised the child to diagnose himself .,The professor promised the children to diagnose himself .,The professors promised the child to diagnose himself .,-3.7988967895507812,-6.706504821777344,-3.8662796020507812,1,0,0
promised,The professor promised the child to embarrass himself .,The professor promised the children to embarrass himself .,The professors promised the child to embarrass himself .,-2.196746826171875,-4.846549987792969,-2.171875,0,0,0
promised,The professor promised the child to disguise himself .,The professor promised the children to disguise himself .,The professors promised the child to disguise himself .,-1.251556396484375,-4.484527587890625,-1.305877685546875,1,0,0
guaranteed,The professor guaranteed the lawyer to make fun of himself .,The professor guaranteed the lawyers to make fun of himself .,The professors guaranteed the lawyer to make fun of himself .,-4.818122863769531,-5.909263610839844,-5.1308746337890625,1,0,0
guaranteed,The professor guaranteed the lawyer to examine himself .,The professor guaranteed the lawyers to examine himself .,The professors guaranteed the lawyer to examine himself .,-5.78271484375,-7.311439514160156,-5.821372985839844,1,0,0
guaranteed,The professor guaranteed the lawyer to diagnose himself .,The professor guaranteed the lawyers to diagnose himself .,The professors guaranteed the lawyer to diagnose himself .,-5.1117706298828125,-6.346893310546875,-5.039878845214844,0,0,0
guaranteed,The professor guaranteed the lawyer to embarrass himself .,The professor guaranteed the lawyers to embarrass himself .,The professors guaranteed the lawyer to embarrass himself .,-2.3941802978515625,-3.8866119384765625,-2.4913177490234375,1,0,0
guaranteed,The professor guaranteed the lawyer to disguise himself .,The professor guaranteed the lawyers to disguise himself .,The professors guaranteed the lawyer to disguise himself .,-1.1708221435546875,-3.6597900390625,-1.167633056640625,0,0,0
guaranteed,The professor guaranteed the artist to make fun of himself .,The professor guaranteed the artists to make fun of himself .,The professors guaranteed the artist to make fun of himself .,-4.1728363037109375,-5.2557373046875,-4.3708343505859375,1,0,0
guaranteed,The professor guaranteed the artist to examine himself .,The professor guaranteed the artists to examine himself .,The professors guaranteed the artist to examine himself .,-4.7185211181640625,-6.477142333984375,-4.770515441894531,1,0,0
guaranteed,The professor guaranteed the artist to diagnose himself .,The professor guaranteed the artists to diagnose himself .,The professors guaranteed the artist to diagnose himself .,-4.500038146972656,-5.999946594238281,-4.295814514160156,0,0,0
guaranteed,The professor guaranteed the artist to embarrass himself .,The professor guaranteed the artists to embarrass himself .,The professors guaranteed the artist to embarrass himself .,-2.4833755493164062,-3.99896240234375,-2.4862823486328125,1,0,0
guaranteed,The professor guaranteed the artist to disguise himself .,The professor guaranteed the artists to disguise himself .,The professors guaranteed the artist to disguise himself .,-1.6178817749023438,-4.125328063964844,-1.6714324951171875,1,0,0
guaranteed,The professor guaranteed the student to make fun of himself .,The professor guaranteed the students to make fun of himself .,The professors guaranteed the student to make fun of himself .,-3.6791839599609375,-5.307373046875,-4.416038513183594,1,0,0
guaranteed,The professor guaranteed the student to examine himself .,The professor guaranteed the students to examine himself .,The professors guaranteed the student to examine himself .,-4.7261199951171875,-6.799736022949219,-5.1370849609375,1,0,0
guaranteed,The professor guaranteed the student to diagnose himself .,The professor guaranteed the students to diagnose himself .,The professors guaranteed the student to diagnose himself .,-3.5461807250976562,-5.853553771972656,-3.5298843383789062,0,0,0
guaranteed,The professor guaranteed the student to embarrass himself .,The professor guaranteed the students to embarrass himself .,The professors guaranteed the student to embarrass himself .,-1.5673751831054688,-4.167289733886719,-1.7881546020507812,1,0,0
guaranteed,The professor guaranteed the student to disguise himself .,The professor guaranteed the students to disguise himself .,The professors guaranteed the student to disguise himself .,-1.262176513671875,-4.377296447753906,-1.6140060424804688,1,0,0
guaranteed,The professor guaranteed the child to make fun of himself .,The professor guaranteed the children to make fun of himself .,The professors guaranteed the child to make fun of himself .,-3.221038818359375,-5.367462158203125,-3.699005126953125,1,0,0
guaranteed,The professor guaranteed the child to examine himself .,The professor guaranteed the children to examine himself .,The professors guaranteed the child to examine himself .,-3.7606201171875,-6.262031555175781,-4.081855773925781,1,0,0
guaranteed,The professor guaranteed the child to diagnose himself .,The professor guaranteed the children to diagnose himself .,The professors guaranteed the child to diagnose himself .,-3.4486083984375,-5.954795837402344,-3.4178924560546875,0,0,0
guaranteed,The professor guaranteed the child to embarrass himself .,The professor guaranteed the children to embarrass himself .,The professors guaranteed the child to embarrass himself .,-1.9900894165039062,-4.437309265136719,-1.8785858154296875,0,0,0
guaranteed,The professor guaranteed the child to disguise himself .,The professor guaranteed the children to disguise himself .,The professors guaranteed the child to disguise himself .,-1.09442138671875,-4.0269927978515625,-1.2424545288085938,1,0,0
offered,The professor offered the lawyer to make fun of himself .,The professor offered the lawyers to make fun of himself .,The professors offered the lawyer to make fun of himself .,-5.136940002441406,-6.123313903808594,-5.6545257568359375,1,0,0
offered,The professor offered the lawyer to examine himself .,The professor offered the lawyers to examine himself .,The professors offered the lawyer to examine himself .,-6.017265319824219,-7.681495666503906,-6.3635406494140625,1,0,0
offered,The professor offered the lawyer to diagnose himself .,The professor offered the lawyers to diagnose himself .,The professors offered the lawyer to diagnose himself .,-5.130088806152344,-6.7628021240234375,-5.3672027587890625,1,0,0
offered,The professor offered the lawyer to embarrass himself .,The professor offered the lawyers to embarrass himself .,The professors offered the lawyer to embarrass himself .,-3.3451919555664062,-4.602821350097656,-3.6332473754882812,1,0,0
offered,The professor offered the lawyer to disguise himself .,The professor offered the lawyers to disguise himself .,The professors offered the lawyer to disguise himself .,-1.210693359375,-3.298980712890625,-1.3362083435058594,1,0,0
offered,The professor offered the artist to make fun of himself .,The professor offered the artists to make fun of himself .,The professors offered the artist to make fun of himself .,-4.4983978271484375,-5.6767578125,-4.8246002197265625,1,0,0
offered,The professor offered the artist to examine himself .,The professor offered the artists to examine himself .,The professors offered the artist to examine himself .,-5.2849273681640625,-7.485649108886719,-5.724090576171875,1,0,0
offered,The professor offered the artist to diagnose himself .,The professor offered the artists to diagnose himself .,The professors offered the artist to diagnose himself .,-4.5877685546875,-6.591789245605469,-4.719337463378906,1,0,0
offered,The professor offered the artist to embarrass himself .,The professor offered the artists to embarrass himself .,The professors offered the artist to embarrass himself .,-2.9647064208984375,-4.508583068847656,-2.97833251953125,1,0,0
offered,The professor offered the artist to disguise himself .,The professor offered the artists to disguise himself .,The professors offered the artist to disguise himself .,-1.30999755859375,-3.7355270385742188,-1.4802398681640625,1,0,0
offered,The professor offered the student to make fun of himself .,The professor offered the students to make fun of himself .,The professors offered the student to make fun of himself .,-4.231292724609375,-5.558616638183594,-4.8492279052734375,1,0,0
offered,The professor offered the student to examine himself .,The professor offered the students to examine himself .,The professors offered the student to examine himself .,-4.80841064453125,-7.322898864746094,-5.372077941894531,1,0,0
offered,The professor offered the student to diagnose himself .,The professor offered the students to diagnose himself .,The professors offered the student to diagnose himself .,-3.8964691162109375,-6.767768859863281,-4.1233978271484375,1,0,0
offered,The professor offered the student to embarrass himself .,The professor offered the students to embarrass himself .,The professors offered the student to embarrass himself .,-2.1625823974609375,-4.299530029296875,-2.3949508666992188,1,0,0
offered,The professor offered the student to disguise himself .,The professor offered the students to disguise himself .,The professors offered the student to disguise himself .,-1.0635757446289062,-4.3020477294921875,-1.563262939453125,1,0,0
offered,The professor offered the child to make fun of himself .,The professor offered the children to make fun of himself .,The professors offered the child to make fun of himself .,-3.9944686889648438,-5.5236663818359375,-4.719673156738281,1,0,0
offered,The professor offered the child to examine himself .,The professor offered the children to examine himself .,The professors offered the child to examine himself .,-4.138145446777344,-6.590873718261719,-4.734962463378906,1,0,0
offered,The professor offered the child to diagnose himself .,The professor offered the children to diagnose himself .,The professors offered the child to diagnose himself .,-3.773040771484375,-6.598846435546875,-4.195137023925781,1,0,0
offered,The professor offered the child to embarrass himself .,The professor offered the children to embarrass himself .,The professors offered the child to embarrass himself .,-2.7576217651367188,-4.625091552734375,-2.8150634765625,1,0,0
offered,The professor offered the child to disguise himself .,The professor offered the children to disguise himself .,The professors offered the child to disguise himself .,-1.0737762451171875,-3.60955810546875,-1.3199386596679688,1,0,0
promised,The lawyer promised the professor to make fun of himself .,The lawyer promised the professors to make fun of himself .,The lawyers promised the professor to make fun of himself .,-4.428703308105469,-5.834312438964844,-4.465423583984375,1,0,0
promised,The lawyer promised the professor to examine himself .,The lawyer promised the professors to examine himself .,The lawyers promised the professor to examine himself .,-5.402427673339844,-7.6400146484375,-5.832633972167969,1,0,0
promised,The lawyer promised the professor to diagnose himself .,The lawyer promised the professors to diagnose himself .,The lawyers promised the professor to diagnose himself .,-4.573158264160156,-6.398963928222656,-4.793220520019531,1,0,0
promised,The lawyer promised the professor to embarrass himself .,The lawyer promised the professors to embarrass himself .,The lawyers promised the professor to embarrass himself .,-2.4585647583007812,-4.576179504394531,-2.2821121215820312,0,0,0
promised,The lawyer promised the professor to disguise himself .,The lawyer promised the professors to disguise himself .,The lawyers promised the professor to disguise himself .,-1.6516189575195312,-4.750221252441406,-2.1238555908203125,1,0,0
promised,The lawyer promised the artist to make fun of himself .,The lawyer promised the artists to make fun of himself .,The lawyers promised the artist to make fun of himself .,-4.31878662109375,-5.6462554931640625,-4.4947662353515625,1,0,0
promised,The lawyer promised the artist to examine himself .,The lawyer promised the artists to examine himself .,The lawyers promised the artist to examine himself .,-5.599517822265625,-7.779579162597656,-6.0400543212890625,1,0,0
promised,The lawyer promised the artist to diagnose himself .,The lawyer promised the artists to diagnose himself .,The lawyers promised the artist to diagnose himself .,-4.7410736083984375,-6.636466979980469,-4.921897888183594,1,0,0
promised,The lawyer promised the artist to embarrass himself .,The lawyer promised the artists to embarrass himself .,The lawyers promised the artist to embarrass himself .,-2.8570556640625,-4.754615783691406,-2.695343017578125,0,0,0
promised,The lawyer promised the artist to disguise himself .,The lawyer promised the artists to disguise himself .,The lawyers promised the artist to disguise himself .,-1.9914398193359375,-4.896507263183594,-2.45831298828125,1,0,0
promised,The lawyer promised the student to make fun of himself .,The lawyer promised the students to make fun of himself .,The lawyers promised the student to make fun of himself .,-3.885040283203125,-5.76605224609375,-4.2582244873046875,1,0,0
promised,The lawyer promised the student to examine himself .,The lawyer promised the students to examine himself .,The lawyers promised the student to examine himself .,-4.7586212158203125,-7.375938415527344,-5.427925109863281,1,0,0
promised,The lawyer promised the student to diagnose himself .,The lawyer promised the students to diagnose himself .,The lawyers promised the student to diagnose himself .,-3.9314804077148438,-6.5364837646484375,-4.1632843017578125,1,0,0
promised,The lawyer promised the student to embarrass himself .,The lawyer promised the students to embarrass himself .,The lawyers promised the student to embarrass himself .,-2.3521347045898438,-5.088226318359375,-2.439788818359375,1,0,0
promised,The lawyer promised the student to disguise himself .,The lawyer promised the students to disguise himself .,The lawyers promised the student to disguise himself .,-1.58349609375,-5.0059661865234375,-2.0677642822265625,1,0,0
promised,The lawyer promised the child to make fun of himself .,The lawyer promised the children to make fun of himself .,The lawyers promised the child to make fun of himself .,-3.6061325073242188,-5.571464538574219,-4.101287841796875,1,0,0
promised,The lawyer promised the child to examine himself .,The lawyer promised the children to examine himself .,The lawyers promised the child to examine himself .,-4.663177490234375,-7.1607818603515625,-5.1316986083984375,1,0,0
promised,The lawyer promised the child to diagnose himself .,The lawyer promised the children to diagnose himself .,The lawyers promised the child to diagnose himself .,-3.8990249633789062,-6.7291412353515625,-4.195396423339844,1,0,0
promised,The lawyer promised the child to embarrass himself .,The lawyer promised the children to embarrass himself .,The lawyers promised the child to embarrass himself .,-2.8289794921875,-5.453681945800781,-2.9494094848632812,1,0,0
promised,The lawyer promised the child to disguise himself .,The lawyer promised the children to disguise himself .,The lawyers promised the child to disguise himself .,-1.5894241333007812,-4.543434143066406,-1.9300308227539062,1,0,0
guaranteed,The lawyer guaranteed the professor to make fun of himself .,The lawyer guaranteed the professors to make fun of himself .,The lawyers guaranteed the professor to make fun of himself .,-4.40118408203125,-5.956512451171875,-4.331535339355469,0,0,0
guaranteed,The lawyer guaranteed the professor to examine himself .,The lawyer guaranteed the professors to examine himself .,The lawyers guaranteed the professor to examine himself .,-4.529510498046875,-6.807197570800781,-4.956016540527344,1,0,0
guaranteed,The lawyer guaranteed the professor to diagnose himself .,The lawyer guaranteed the professors to diagnose himself .,The lawyers guaranteed the professor to diagnose himself .,-4.000740051269531,-6.1048431396484375,-4.085731506347656,1,0,0
guaranteed,The lawyer guaranteed the professor to embarrass himself .,The lawyer guaranteed the professors to embarrass himself .,The lawyers guaranteed the professor to embarrass himself .,-1.9980239868164062,-4.3559112548828125,-1.869659423828125,0,0,0
