sentence,tokens,log_probs
The professor promised the lawyers to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-9.194316864013672|||-3.267117500305176|||-3.765894889831543|||-8.02491569519043|||-0.021681785583496094|||-6.246217727661133|||-8.209020614624023|||-9.28857135772705
The professor promised the lawyers to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-9.194316864013672|||-3.267117500305176|||-7.488911151885986|||-8.63839340209961|||-8.311245918273926|||-8.92948055267334
The professor promised the lawyers to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-9.194316864013672|||-3.267117500305176|||-11.724905014038086|||-6.212071895599365|||-8.428766250610352|||-8.887654304504395
The professor promised the lawyers to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-9.194316864013672|||-3.267117500305176|||-11.427878379821777|||-6.900001525878906|||-8.263130187988281|||-9.548468589782715
The professor promised the lawyers to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-9.194316864013672|||-3.267117500305176|||-10.699257850646973|||-2.9850196838378906|||-9.188543319702148|||-9.490117073059082
The professor promised the artists to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-10.517027854919434|||-3.0485596656799316|||-2.779521942138672|||-7.816405296325684|||-0.0711832046508789|||-5.643515586853027|||-8.072009086608887|||-8.833311080932617
The professor promised the artists to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-10.517027854919434|||-3.0485596656799316|||-8.158344268798828|||-9.265580177307129|||-8.65107536315918|||-8.625262260437012
The professor promised the artists to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-10.517027854919434|||-3.0485596656799316|||-11.718497276306152|||-7.088520050048828|||-8.613452911376953|||-8.654077529907227
The professor promised the artists to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-10.517027854919434|||-3.0485596656799316|||-12.165715217590332|||-4.556759357452393|||-8.19367790222168|||-9.162055969238281
The professor promised the artists to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-10.517027854919434|||-3.0485596656799316|||-10.255743980407715|||-3.5714645385742188|||-9.63785171508789|||-8.902559280395508
The professor promised the students to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudents|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-1.9630756378173828|||-4.025796413421631|||-3.392031669616699|||-6.333889484405518|||-0.033722877502441406|||-6.1207733154296875|||-8.30908203125|||-9.030669212341309
The professor promised the students to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudents|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-1.9630756378173828|||-4.025796413421631|||-6.709994316101074|||-8.50124740600586|||-8.754875183105469|||-8.777831077575684
