sentence,tokens,log_probs
The professor persuaded the lawyer to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.376396179199219|||-0.40793609619140625|||-4.441497802734375|||-7.7683563232421875|||-0.005519866943359375|||-5.009063720703125|||-7.450706481933594|||-5.802055358886719
The professor persuaded the lawyer to examine himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.376396179199219|||-0.40793609619140625|||-6.4280242919921875|||-6.62591552734375|||-8.122329711914062|||-6.759674072265625
The professor persuaded the lawyer to diagnose himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.376396179199219|||-0.40793609619140625|||-11.774887084960938|||-4.589164733886719|||-9.027091979980469|||-6.5817718505859375
The professor persuaded the lawyer to embarrass himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.376396179199219|||-0.40793609619140625|||-11.250457763671875|||-2.931884765625|||-8.796577453613281|||-6.115180969238281
The professor persuaded the lawyer to disguise himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġlawyer|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-7.376396179199219|||-0.40793609619140625|||-10.2734375|||-1.6428070068359375|||-10.4306640625|||-6.2161102294921875
The professor persuaded the artist to make fun of himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-9.210365295410156|||-0.2592506408691406|||-3.0244598388671875|||-7.4776458740234375|||-0.014232635498046875|||-4.173439025878906|||-7.393760681152344|||-5.537696838378906
The professor persuaded the artist to examine himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-9.210365295410156|||-0.2592506408691406|||-8.012420654296875|||-5.289970397949219|||-8.495491027832031|||-6.3092803955078125
The professor persuaded the artist to diagnose himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-9.210365295410156|||-0.2592506408691406|||-13.176956176757812|||-4.0941925048828125|||-8.790489196777344|||-6.192291259765625
The professor persuaded the artist to embarrass himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-9.210365295410156|||-0.2592506408691406|||-12.446304321289062|||-2.4628982543945312|||-8.520866394042969|||-5.841796875
The professor persuaded the artist to disguise himself .,The|||Ġprofessor|||Ġpersuaded|||Ġthe|||Ġartist|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-9.951057434082031|||-1.8152008056640625|||-9.210365295410156|||-0.2592506408691406|||-8.4200439453125|||-1.5121040344238281|||-10.237129211425781|||-5.9126739501953125
