sentence,tokens,log_probs
The professor promised the lawyers to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.479888916015625|||-2.1914443969726562|||-3.912200927734375|||-9.031959533691406|||-0.00933837890625|||-5.860801696777344|||-7.83636474609375|||-5.004081726074219
The professor promised the lawyers to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.479888916015625|||-2.1914443969726562|||-5.6858367919921875|||-8.066085815429688|||-8.697738647460938|||-5.5394287109375
The professor promised the lawyers to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.479888916015625|||-2.1914443969726562|||-12.644775390625|||-7.023963928222656|||-8.776702880859375|||-5.628761291503906
The professor promised the lawyers to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.479888916015625|||-2.1914443969726562|||-11.051376342773438|||-4.2628326416015625|||-8.56634521484375|||-5.200767517089844
The professor promised the lawyers to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyers|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-9.479888916015625|||-2.1914443969726562|||-11.298233032226562|||-4.332908630371094|||-9.994422912597656|||-5.374275207519531
The professor promised the artists to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.294105529785156|||-3.364532470703125|||-3.4829788208007812|||-6.4698028564453125|||-0.0245361328125|||-5.24609375|||-7.528221130371094|||-4.8071136474609375
The professor promised the artists to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.294105529785156|||-3.364532470703125|||-8.491477966308594|||-7.466705322265625|||-8.719703674316406|||-5.364479064941406
The professor promised the artists to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.294105529785156|||-3.364532470703125|||-13.577369689941406|||-6.722419738769531|||-8.772750854492188|||-5.213752746582031
The professor promised the artists to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.294105529785156|||-3.364532470703125|||-11.626029968261719|||-4.266357421875|||-8.350776672363281|||-4.972984313964844
The professor promised the artists to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartists|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-10.294105529785156|||-3.364532470703125|||-9.752708435058594|||-4.5798492431640625|||-9.731033325195312|||-5.1113128662109375
The professor promised the students to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudents|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-2.7124099731445312|||-2.9811172485351562|||-4.2788543701171875|||-6.449913024902344|||-0.012470245361328125|||-5.265830993652344|||-7.807090759277344|||-5.1208343505859375
The professor promised the students to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudents|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-2.7124099731445312|||-2.9811172485351562|||-7.0939178466796875|||-7.391639709472656|||-8.671157836914062|||-5.674995422363281
The professor promised the students to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudents|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-2.7124099731445312|||-2.9811172485351562|||-12.13153076171875|||-6.6333465576171875|||-8.887351989746094|||-5.584083557128906
The professor promised the students to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudents|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-2.7124099731445312|||-2.9811172485351562|||-11.534133911132812|||-4.433685302734375|||-8.700088500976562|||-5.393043518066406
The professor promised the students to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudents|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-2.7124099731445312|||-2.9811172485351562|||-10.62384033203125|||-4.7649993896484375|||-10.19696044921875|||-5.457130432128906
The professor promised the children to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchildren|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-6.287178039550781|||-3.4919891357421875|||-4.6322479248046875|||-5.645439147949219|||-0.019351959228515625|||-5.180328369140625|||-7.7260894775390625|||-5.0063018798828125
The professor promised the children to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchildren|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-6.287178039550781|||-3.4919891357421875|||-8.111038208007812|||-6.864173889160156|||-8.315849304199219|||-5.506553649902344
The professor promised the children to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchildren|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-6.287178039550781|||-3.4919891357421875|||-12.4393310546875|||-6.706504821777344|||-8.607170104980469|||-5.481605529785156
The professor promised the children to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchildren|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-6.287178039550781|||-3.4919891357421875|||-11.784706115722656|||-4.846549987792969|||-8.535926818847656|||-5.302757263183594
The professor promised the children to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchildren|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-7.74444580078125|||-3.0758934020996094|||-6.287178039550781|||-3.4919891357421875|||-10.387603759765625|||-4.484527587890625|||-9.967269897460938|||-5.3986358642578125
The professor guaranteed the lawyers to make fun of himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġlawyers|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-2.6971359252929688|||-9.65521240234375|||-3.5636520385742188|||-3.85028076171875|||-7.759002685546875|||-0.00933837890625|||-5.909263610839844|||-7.358345031738281|||-5.720252990722656
The professor guaranteed the lawyers to examine himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġlawyers|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-2.6971359252929688|||-9.65521240234375|||-3.5636520385742188|||-7.5038604736328125|||-7.311439514160156|||-8.396499633789062|||-6.678565979003906
The professor guaranteed the lawyers to diagnose himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġlawyers|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-2.6971359252929688|||-9.65521240234375|||-3.5636520385742188|||-11.376007080078125|||-6.346893310546875|||-8.656036376953125|||-6.532615661621094
The professor guaranteed the lawyers to embarrass himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġlawyers|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-2.6971359252929688|||-9.65521240234375|||-3.5636520385742188|||-11.077041625976562|||-3.8866119384765625|||-8.175369262695312|||-6.017387390136719
The professor guaranteed the lawyers to disguise himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġlawyers|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-2.6971359252929688|||-9.65521240234375|||-3.5636520385742188|||-10.709426879882812|||-3.6597900390625|||-9.655281066894531|||-6.282829284667969
The professor guaranteed the artists to make fun of himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġartists|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-2.6971359252929688|||-11.180183410644531|||-4.676002502441406|||-3.2032928466796875|||-6.046875|||-0.024990081787109375|||-5.2557373046875|||-7.065467834472656|||-5.515800476074219
The professor guaranteed the artists to examine himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġartists|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-9.112571716308594|||-12.605682373046875|||-2.6971359252929688|||-11.180183410644531|||-4.676002502441406|||-10.310821533203125|||-6.477142333984375|||-8.442169189453125|||-6.285713195800781
