sentence,tokens,log_probs
The professors promised the lawyer to make fun of himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-10.437385559082031|||-2.8983688354492188|||-3.97467041015625|||-8.974418640136719|||-0.010242462158203125|||-5.752166748046875|||-7.834320068359375|||-5.4357147216796875
The professors promised the lawyer to examine himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-10.437385559082031|||-2.8983688354492188|||-6.0262908935546875|||-7.4608612060546875|||-8.620887756347656|||-6.188606262207031
The professors promised the lawyer to diagnose himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-10.437385559082031|||-2.8983688354492188|||-11.738937377929688|||-6.110008239746094|||-8.757713317871094|||-6.1628875732421875
The professors promised the lawyer to embarrass himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-10.437385559082031|||-2.8983688354492188|||-10.65313720703125|||-3.5202865600585938|||-8.733787536621094|||-5.6500396728515625
The professors promised the lawyer to disguise himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-10.437385559082031|||-2.8983688354492188|||-10.195159912109375|||-1.7963409423828125|||-9.979949951171875|||-5.752227783203125
The professors promised the artist to make fun of himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-11.631546020507812|||-3.736328125|||-3.414337158203125|||-7.088294982910156|||-0.02605438232421875|||-4.573829650878906|||-7.5393218994140625|||-5.2534637451171875
The professors promised the artist to examine himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-11.631546020507812|||-3.736328125|||-8.284133911132812|||-5.90789794921875|||-8.7003173828125|||-5.883087158203125
The professors promised the artist to diagnose himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-11.631546020507812|||-3.736328125|||-12.997634887695312|||-5.05987548828125|||-8.582527160644531|||-5.708274841308594
The professors promised the artist to embarrass himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-11.631546020507812|||-3.736328125|||-11.484786987304688|||-2.8256759643554688|||-8.392333984375|||-5.36871337890625
The professors promised the artist to disguise himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-11.631546020507812|||-3.736328125|||-9.631622314453125|||-2.0284423828125|||-9.6849365234375|||-5.446815490722656
The professors promised the student to make fun of himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-5.0551300048828125|||-4.068855285644531|||-4.367889404296875|||-7.496299743652344|||-0.013336181640625|||-4.577919006347656|||-7.841972351074219|||-5.628593444824219
The professors promised the student to examine himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-5.0551300048828125|||-4.068855285644531|||-7.3292083740234375|||-5.525794982910156|||-8.663864135742188|||-6.3190155029296875
The professors promised the student to diagnose himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-5.0551300048828125|||-4.068855285644531|||-11.956985473632812|||-4.3590545654296875|||-8.756904602050781|||-6.1383514404296875
The professors promised the student to embarrass himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-5.0551300048828125|||-4.068855285644531|||-11.360870361328125|||-2.4471817016601562|||-8.810440063476562|||-5.845672607421875
The professors promised the student to disguise himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-5.0551300048828125|||-4.068855285644531|||-11.020370483398438|||-1.9450759887695312|||-10.064064025878906|||-5.835662841796875
The professors promised the child to make fun of himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-9.1278076171875|||-3.6831817626953125|||-4.8429107666015625|||-6.4856414794921875|||-0.02197265625|||-3.7226028442382812|||-8.041397094726562|||-5.676963806152344
The professors promised the child to examine himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-9.1278076171875|||-3.6831817626953125|||-8.338607788085938|||-4.3885040283203125|||-8.647438049316406|||-6.3451995849609375
The professors promised the child to diagnose himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-9.1278076171875|||-3.6831817626953125|||-12.225982666015625|||-3.8662796020507812|||-8.673774719238281|||-6.191459655761719
The professors promised the child to embarrass himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-9.1278076171875|||-3.6831817626953125|||-11.172950744628906|||-2.171875|||-8.933731079101562|||-5.935096740722656
The professors promised the child to disguise himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-8.246086120605469|||-3.1365890502929688|||-9.1278076171875|||-3.6831817626953125|||-10.735054016113281|||-1.305877685546875|||-10.037078857421875|||-5.950538635253906
The professors guaranteed the lawyer to make fun of himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-10.227203369140625|||-3.6802902221679688|||-3.69781494140625|||-7.8229217529296875|||-0.01104736328125|||-5.1308746337890625|||-7.298545837402344|||-6.0639495849609375
The professors guaranteed the lawyer to examine himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-10.227203369140625|||-3.6802902221679688|||-8.196907043457031|||-5.821372985839844|||-8.585136413574219|||-7.2298431396484375
The professors guaranteed the lawyer to diagnose himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-10.227203369140625|||-3.6802902221679688|||-10.740242004394531|||-5.039878845214844|||-8.741806030273438|||-6.915618896484375
The professors guaranteed the lawyer to embarrass himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġlawyer|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-10.227203369140625|||-3.6802902221679688|||-10.868431091308594|||-2.4913177490234375|||-8.365043640136719|||-6.477622985839844
The professors guaranteed the lawyer to disguise himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġlawyer|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-10.227203369140625|||-3.6802902221679688|||-10.262397766113281|||-1.167633056640625|||-9.735664367675781|||-6.590126037597656
The professors guaranteed the artist to make fun of himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġartist|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-11.817276000976562|||-4.2058868408203125|||-3.1689224243164062|||-6.327125549316406|||-0.02581787109375|||-4.3708343505859375|||-7.1090240478515625|||-5.915740966796875
The professors guaranteed the artist to examine himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġartist|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-11.817276000976562|||-4.2058868408203125|||-9.99749755859375|||-4.770515441894531|||-8.463340759277344|||-6.81744384765625
The professors guaranteed the artist to diagnose himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġartist|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-11.817276000976562|||-4.2058868408203125|||-12.954345703125|||-4.295814514160156|||-8.45330810546875|||-6.5123291015625
The professors guaranteed the artist to embarrass himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġartist|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-11.817276000976562|||-4.2058868408203125|||-11.662994384765625|||-2.4862823486328125|||-8.005348205566406|||-6.112266540527344
The professors guaranteed the artist to disguise himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġartist|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-11.817276000976562|||-4.2058868408203125|||-10.656417846679688|||-1.6714324951171875|||-9.159286499023438|||-6.201995849609375
The professors guaranteed the student to make fun of himself .,The|||Ġprofessors|||Ġguaranteed|||Ġthe|||Ġstudent|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-3.2781028747558594|||-11.098838806152344|||-12.130355834960938|||-2.5248336791992188|||-4.992652893066406|||-4.7442169189453125|||-4.192558288574219|||-6.518501281738281|||-0.015979766845703125|||-4.416038513183594|||-7.398284912109375|||-6.298179626464844
