sentence,tokens,log_probs
The professors promised to make fun of himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-1.1925716400146484|||-3.678516387939453|||-6.654822826385498|||-0.056632041931152344|||-6.59844970703125|||-8.676612854003906|||-8.83579158782959
The professors promised to examine himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-1.1925716400146484|||-5.886902332305908|||-9.871319770812988|||-9.127323150634766|||-8.611230850219727
The professors promised to diagnose himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-1.1925716400146484|||-9.804744720458984|||-6.9682817459106445|||-8.862666130065918|||-8.563735961914062
The professors promised to embarrass himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-1.1925716400146484|||-11.31690502166748|||-7.299141883850098|||-8.507651329040527|||-9.094361305236816
The professors promised to disguise himself .,The|||Ġprofessors|||Ġpromised|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-1.1925716400146484|||-9.685187339782715|||-5.869610786437988|||-10.24407958984375|||-9.28249740600586
The professors guaranteed to make fun of himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-12.562948226928711|||-3.4847664833068848|||-3.817084312438965|||-7.58463191986084|||-0.024931907653808594|||-8.658300399780273|||-8.422282218933105|||-8.910784721374512
The professors guaranteed to examine himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-12.562948226928711|||-3.4847664833068848|||-8.16889476776123|||-8.308734893798828|||-8.616551399230957|||-9.116313934326172
The professors guaranteed to diagnose himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-12.562948226928711|||-3.4847664833068848|||-10.077216148376465|||-7.856342315673828|||-8.955540657043457|||-8.668960571289062
The professors guaranteed to embarrass himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-12.562948226928711|||-3.4847664833068848|||-10.304927825927734|||-6.834056377410889|||-8.440838813781738|||-8.450918197631836
The professors guaranteed to disguise himself .,The|||Ġprofessors|||Ġguaranteed|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-12.562948226928711|||-3.4847664833068848|||-12.074776649475098|||-6.387744903564453|||-9.312019348144531|||-9.569458961486816
The professors offered to make fun of himself .,The|||Ġprofessors|||Ġoffered|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-7.236444473266602|||-2.6404027938842773|||-4.360806465148926|||-6.546046733856201|||-0.0749807357788086|||-6.492341041564941|||-8.702680587768555|||-9.021275520324707
The professors offered to examine himself .,The|||Ġprofessors|||Ġoffered|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-7.236444473266602|||-2.6404027938842773|||-6.839550971984863|||-8.326526641845703|||-8.862289428710938|||-8.577054023742676
The professors offered to diagnose himself .,The|||Ġprofessors|||Ġoffered|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-7.236444473266602|||-2.6404027938842773|||-9.528867721557617|||-6.9741973876953125|||-8.4899263381958|||-8.27552604675293
The professors offered to embarrass himself .,The|||Ġprofessors|||Ġoffered|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-7.236444473266602|||-2.6404027938842773|||-11.22695541381836|||-6.353830337524414|||-8.670434951782227|||-9.129066467285156
The professors offered to disguise himself .,The|||Ġprofessors|||Ġoffered|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-7.236444473266602|||-2.6404027938842773|||-10.356620788574219|||-5.443052768707275|||-10.87905502319336|||-8.961145401000977
The lawyers promised to make fun of himself .,The|||Ġlawyers|||Ġpromised|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-10.09765625|||-9.177404403686523|||-1.4093809127807617|||-3.574578285217285|||-7.970549583435059|||-0.03549003601074219|||-6.735316276550293|||-8.333239555358887|||-9.024576187133789
