sentence,tokens,log_probs
The professor promised the lawyer to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.388972282409668|||-3.491978645324707|||-3.778352737426758|||-7.992591857910156|||-0.01854419708251953|||-5.676403999328613|||-8.389314651489258|||-9.308747291564941
The professor promised the lawyer to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.388972282409668|||-3.491978645324707|||-7.763885498046875|||-7.4610700607299805|||-8.073457717895508|||-8.95649242401123
The professor promised the lawyer to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.388972282409668|||-3.491978645324707|||-11.810725212097168|||-5.675793647766113|||-8.301724433898926|||-9.047281265258789
The professor promised the lawyer to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.388972282409668|||-3.491978645324707|||-11.029261589050293|||-6.843477725982666|||-8.24703598022461|||-9.606304168701172
The professor promised the lawyer to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.388972282409668|||-3.491978645324707|||-10.45182991027832|||-2.0211753845214844|||-9.29545783996582|||-9.496886253356934
The professor promised the artist to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.950770378112793|||-3.0892457962036133|||-2.74920654296875|||-8.086322784423828|||-0.03967761993408203|||-4.705052375793457|||-8.35790729522705|||-9.012398719787598
The professor promised the artist to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.950770378112793|||-3.0892457962036133|||-8.081402778625488|||-7.684830188751221|||-8.571739196777344|||-8.933586120605469
The professor promised the artist to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.950770378112793|||-3.0892457962036133|||-12.171914100646973|||-5.711299419403076|||-8.540658950805664|||-8.945282936096191
The professor promised the artist to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.950770378112793|||-3.0892457962036133|||-11.497960090637207|||-4.711469650268555|||-8.302140235900879|||-9.37639045715332
The professor promised the artist to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-8.950770378112793|||-3.0892457962036133|||-9.739161491394043|||-2.073772430419922|||-9.580862045288086|||-9.241695404052734
The professor promised the student to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-2.420229911804199|||-3.91245174407959|||-3.4432668685913086|||-7.183289051055908|||-0.01769733428955078|||-6.334871768951416|||-8.765438079833984|||-9.148223876953125
The professor promised the student to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-2.420229911804199|||-3.91245174407959|||-7.460101127624512|||-7.646021366119385|||-8.541439056396484|||-8.990516662597656
The professor promised the student to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-2.420229911804199|||-3.91245174407959|||-10.657209396362305|||-5.8561530113220215|||-8.707658767700195|||-8.955140113830566
The professor promised the student to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-2.420229911804199|||-3.91245174407959|||-10.748225212097168|||-6.174274921417236|||-8.681550979614258|||-9.525656700134277
The professor promised the student to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġstudent|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-2.420229911804199|||-3.91245174407959|||-9.965840339660645|||-2.2822561264038086|||-9.886815071105957|||-9.307210922241211
The professor promised the child to make fun of himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-5.972949504852295|||-3.4235472679138184|||-3.4886131286621094|||-6.667125225067139|||-0.026813507080078125|||-5.654965400695801|||-8.335121154785156|||-9.067035675048828
The professor promised the child to examine himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-5.972949504852295|||-3.4235472679138184|||-8.676051139831543|||-6.193068504333496|||-8.247182846069336|||-8.98813247680664
The professor promised the child to diagnose himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-5.972949504852295|||-3.4235472679138184|||-11.93488883972168|||-4.697701454162598|||-8.666650772094727|||-8.818605422973633
The professor promised the child to embarrass himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-5.972949504852295|||-3.4235472679138184|||-11.745251655578613|||-6.090742588043213|||-8.22408676147461|||-9.377884864807129
The professor promised the child to disguise himself .,The|||Ġprofessor|||Ġpromised|||Ġthe|||Ġchild|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-8.274272918701172|||-2.9152750968933105|||-5.972949504852295|||-3.4235472679138184|||-10.041253089904785|||-1.8645591735839844|||-9.42333698272705|||-9.362296104431152
The professor guaranteed the lawyer to make fun of himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-12.309844970703125|||-2.4287986755371094|||-8.121841430664062|||-5.171558856964111|||-3.7510533332824707|||-8.983030319213867|||-0.038582801818847656|||-4.980123519897461|||-7.724854469299316|||-8.541357040405273
The professor guaranteed the lawyer to examine himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-12.309844970703125|||-2.4287986755371094|||-8.121841430664062|||-5.171558856964111|||-8.322418212890625|||-6.1348981857299805|||-7.712008476257324|||-8.25652027130127
The professor guaranteed the lawyer to diagnose himself .,The|||Ġprofessor|||Ġguaranteed|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-9.359249114990234|||-12.309844970703125|||-2.4287986755371094|||-8.121841430664062|||-5.171558856964111|||-11.540467262268066|||-5.1710429191589355|||-8.003931045532227|||-8.074073791503906
