sentence,tokens,log_probs
The professors promised the lawyer to make fun of himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-10.025887489318848|||-3.9580564498901367|||-3.954421043395996|||-7.916153430938721|||-0.02367115020751953|||-5.770581245422363|||-8.525287628173828|||-8.934134483337402
The professors promised the lawyer to examine himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-10.025887489318848|||-3.9580564498901367|||-7.37466287612915|||-7.895602703094482|||-8.375353813171387|||-8.674211502075195
The professors promised the lawyer to diagnose himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-10.025887489318848|||-3.9580564498901367|||-12.035387992858887|||-5.445423603057861|||-8.564476013183594|||-8.727640151977539
The professors promised the lawyer to embarrass himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-10.025887489318848|||-3.9580564498901367|||-11.316389083862305|||-7.368143558502197|||-8.432365417480469|||-9.378496170043945
The professors promised the lawyer to disguise himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġlawyer|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-10.025887489318848|||-3.9580564498901367|||-10.579801559448242|||-2.452533721923828|||-9.646114349365234|||-9.14548110961914
The professors promised the artist to make fun of himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġmake|||Ġfun|||Ġof|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-9.925119400024414|||-3.2897329330444336|||-2.9773502349853516|||-7.915250778198242|||-0.061959266662597656|||-4.670802593231201|||-8.612773895263672|||-8.59402847290039
The professors promised the artist to examine himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġexamine|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-9.925119400024414|||-3.2897329330444336|||-8.151241302490234|||-7.887470245361328|||-8.864782333374023|||-8.614869117736816
The professors promised the artist to diagnose himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġdiagnose|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-9.925119400024414|||-3.2897329330444336|||-11.94450569152832|||-5.47005558013916|||-8.834907531738281|||-8.57230281829834
The professors promised the artist to embarrass himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġembarrass|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-9.925119400024414|||-3.2897329330444336|||-12.336816787719727|||-5.362039566040039|||-8.412569046020508|||-9.146039009094238
The professors promised the artist to disguise himself .,The|||Ġprofessors|||Ġpromised|||Ġthe|||Ġartist|||Ġto|||Ġdisguise|||Ġhimself|||Ġ.|||<|endoftext|>,-2.6872377395629883|||-11.509071350097656|||-9.169292449951172|||-2.9821505546569824|||-9.925119400024414|||-3.2897329330444336|||-9.841686248779297|||-2.5554943084716797|||-9.649811744689941|||-8.86654281616211
