verb,baseline_sentence,distractor_sentence,ungrammatical_sentence,baseline_pron_log_prob,distractor_pron_log_prob,ungrammatical_pron_log_prob,baseline_greater_than_ungrammatical,distractor_greater_than_ungrammatical,correct
persuaded,The professor persuaded the lawyer to make fun of himself .,The professors persuaded the lawyer to make fun of himself .,The professor persuaded the lawyers to make fun of himself .,-5.009063720703125,-5.616096496582031,-5.8332061767578125,1,1,1
persuaded,The professor persuaded the lawyer to examine himself .,The professors persuaded the lawyer to examine himself .,The professor persuaded the lawyers to examine himself .,-6.62591552734375,-7.060630798339844,-7.950981140136719,1,1,1
persuaded,The professor persuaded the lawyer to diagnose himself .,The professors persuaded the lawyer to diagnose himself .,The professor persuaded the lawyers to diagnose himself .,-4.589164733886719,-4.657951354980469,-6.0667572021484375,1,1,1
persuaded,The professor persuaded the lawyer to embarrass himself .,The professors persuaded the lawyer to embarrass himself .,The professor persuaded the lawyers to embarrass himself .,-2.931884765625,-2.9264297485351562,-4.421089172363281,1,1,1
persuaded,The professor persuaded the lawyer to disguise himself .,The professors persuaded the lawyer to disguise himself .,The professor persuaded the lawyers to disguise himself .,-1.6428070068359375,-1.7789764404296875,-4.160652160644531,1,1,1
persuaded,The professor persuaded the artist to make fun of himself .,The professors persuaded the artist to make fun of himself .,The professor persuaded the artists to make fun of himself .,-4.173439025878906,-4.4317474365234375,-5.345447540283203,1,1,1
persuaded,The professor persuaded the artist to examine himself .,The professors persuaded the artist to examine himself .,The professor persuaded the artists to examine himself .,-5.289970397949219,-5.445465087890625,-7.049522399902344,1,1,1
persuaded,The professor persuaded the artist to diagnose himself .,The professors persuaded the artist to diagnose himself .,The professor persuaded the artists to diagnose himself .,-4.0941925048828125,-3.9296417236328125,-5.519737243652344,1,1,1
persuaded,The professor persuaded the artist to embarrass himself .,The professors persuaded the artist to embarrass himself .,The professor persuaded the artists to embarrass himself .,-2.4628982543945312,-2.1942062377929688,-4.297355651855469,1,1,1
persuaded,The professor persuaded the artist to disguise himself .,The professors persuaded the artist to disguise himself .,The professor persuaded the artists to disguise himself .,-1.5121040344238281,-1.6577644348144531,-4.024909973144531,1,1,1
persuaded,The professor persuaded the student to make fun of himself .,The professors persuaded the student to make fun of himself .,The professor persuaded the students to make fun of himself .,-4.256614685058594,-4.931610107421875,-5.371673583984375,1,1,1
persuaded,The professor persuaded the student to examine himself .,The professors persuaded the student to examine himself .,The professor persuaded the students to examine himself .,-5.3692626953125,-5.8646392822265625,-7.3822021484375,1,1,1
persuaded,The professor persuaded the student to diagnose himself .,The professors persuaded the student to diagnose himself .,The professor persuaded the students to diagnose himself .,-3.4213104248046875,-3.4734268188476562,-5.6604766845703125,1,1,1
persuaded,The professor persuaded the student to embarrass himself .,The professors persuaded the student to embarrass himself .,The professor persuaded the students to embarrass himself .,-2.6505584716796875,-2.792572021484375,-4.671760559082031,1,1,1
persuaded,The professor persuaded the student to disguise himself .,The professors persuaded the student to disguise himself .,The professor persuaded the students to disguise himself .,-1.5007896423339844,-2.0589523315429688,-4.3299560546875,1,1,1
